Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,brand_encoded,model_delta_encoded,transmission_encoded,fuelType_encoded,car_age,efficiency_ratio,mileage_per_year,brand_popularity,owners_flag,previousOwners_sq,engine_tax_ratio
Ford,Focus,0.8214285714285694,Manual,0.03095675218808726,Diesel,0.2527919081824587,0.3007896586656608,0.09615384615384615,0.6321716514711727,0.25,0.0,0.1588476258139253,0.21659839265967912,0.0,0.9589340753906317,0.17857142857142855,0.29079991016011825,0.3447805430556903,1.0,0.0,0.0,0.0018642688660418956
Mercedes-Benz,C-class,0.7142857142857224,Automatic,0.1114523574376391,Diesel,0.21729350332576228,0.5603940987833009,0.21153846153846156,0.5514974703928063,0.5,0.0,1.0,0.20098710868057448,0.7617071390650407,0.9589340753906317,0.2857142857142857,0.34388385253178055,0.36076076457683215,0.6471062714256908,0.0,0.1111111111111111,0.0035319904253352354
Volkswagen,Golf,0.7142857142857224,Automatic,0.054037319000987606,Diesel,0.034482758620689655,0.5842723672247284,0.11538461538461542,0.7209132506573758,0.75,0.0,0.463296748877857,0.2070455123168875,0.7617071390650407,0.9589340753906317,0.2857142857142857,0.479062130770931,0.33381956383959804,0.5471869328493648,1.0,0.4444444444444444,0.019150678856827242
Opel,Mokka X,0.8214285714285694,Manual,0.012953600475543265,Petrol,0.2516382013601042,0.3516066181999317,0.07692307692307687,0.6160368152554995,0.375,0.0,0.0,0.2298096638299723,0.0,0.0,0.17857142857142855,0.3566009110955413,0.32366122756809035,0.47166767493446266,0.0,0.027777777777777776,0.00169822710392105
Toyota,Auris,0.7142857142857224,Automatic,0.10946473518493863,Hybrid,0.0,0.815757071838232,0.15384615384615385,0.5999019790398261,0.75,0.0,0.1514357428353864,0.20978603297777698,0.7617071390650407,1.0,0.2857142857142857,0.573537728928698,0.3598281007389619,0.09901189755999196,1.0,0.4444444444444444,0.47044308437849686
Ford,Fiesta,0.8214285714285694,Semi-Auto,0.024263233013105297,Petrol,0.25,0.4638058372728033,0.025383090823845295,0.31754234526554376,0.5,0.0,0.1588476258139253,0.1864010523001791,1.0,0.0,0.17857142857142855,0.5653443485573987,0.3369284432991656,1.0,0.0,0.1111111111111111,0.0012338813850419853
Opel,Viva,0.6785714285714306,Manual,0.08292904931594214,Petrol,0.034482758620689655,0.6303330992651704,0.0,0.29334009094203384,0.625,0.0,0.0,0.17340973062721027,0.0,0.0,0.3214285714285714,0.8401924509200589,0.3408908118627033,0.47166767493446266,1.0,0.25,0.011670694234921114
BMW,3 Series,0.8214285714285694,Manual,0.014578992504620754,Diesel,0.25,0.5299443243052328,0.1923076923076923,0.5096159464711512,0.75,0.0,0.8723071202050083,0.18592006601561628,0.0,0.9589340753906317,0.17857142857142855,0.34478904877224126,0.3255679585450448,0.31528533978624723,1.0,0.4444444444444444,0.002790347195215212
Opel,Mokka X,0.75,Manual,0.06488255381595608,Petrol,0.35344827586206895,0.38703795053873324,0.11538461538461542,0.5918345609319895,0.5,0.0,0.0,0.2298096638299723,0.0,0.0,0.25,0.3340194095951148,0.34652020808037826,0.47166767493446266,0.0,0.1111111111111111,0.0012374470762106285
BMW,X1,0.6071428571428612,Manual,0.2074278867736432,Diesel,0.27586206896551724,0.49569403637772463,0.1923076923076923,0.31754234526554376,0.75,0.0,0.8723071202050083,0.180059795671222,0.0,0.9589340753906317,0.39285714285714285,0.32463940127955304,0.3692956556165329,0.31528533978624723,1.0,0.4444444444444444,0.0024562204253266114
Opel,Mokka X,0.7857142857142918,Manual,0.04642119635045309,Petrol,0.25,0.4449091266921091,0.07692307692307687,0.7612503411965589,0.5,0.0,0.0,0.2298096638299723,0.0,0.0,0.21428571428571427,0.4350157954266926,0.3447684368272652,0.47166767493446266,0.0,0.1111111111111111,0.00171445899617392
Opel,Insignia,0.75,Automatic,0.13622023597596275,Diesel,0.25,0.54293581282946,0.11538461538461542,0.2530030004028506,0.25,0.0,0.0,0.21939485347832108,0.7617071390650407,0.9589340753906317,0.25,0.4486639556742031,0.3883629653860772,0.47166767493446266,0.0,0.0,0.0020730883958543504
Ford,B-max,0.642857142857153,Manual,0.14244935742835113,Petrol,0.05172413793103448,0.54293581282946,0.0,0.737048086873049,0.625,0.0,0.1588476258139253,0.16931098277014947,0.0,0.0,0.3571428571428571,0.7373597671642707,0.3562074391200289,1.0,1.0,0.25,0.007649197126369435
Volkswagen,Tiguan,0.6785714285714306,Manual,0.12523258585939892,Diesel,0.27586206896551724,0.4638058372728033,0.1923076923076923,0.38208169012823684,0.5,0.0,0.463296748877857,0.2540135361016627,0.0,0.9589340753906317,0.3214285714285714,0.3058793846484295,0.3574327623827701,0.5471869328493648,0.0,0.1111111111111111,0.0024562204253266114
Ford,Focus,0.6071428571428612,Manual,0.09087334635710945,Petrol,0.05172413793103448,0.5559273013536873,0.0,0.5756997247163163,0.625,0.0,0.1588476258139253,0.21659839265967912,0.0,0.0,0.39285714285714285,0.7526457066414826,0.3351134170025314,1.0,1.0,0.25,0.007649197126369435
Volkswagen,T-cross,0.8571428571428612,Manual,0.0003065024969117551,Diesel,0.25,0.5181338801922989,0.11538461538461542,0.6967109963338658,0.375,0.0,0.463296748877857,0.23701322408575257,0.0,0.9589340753906317,0.14285714285714285,0.4304250506161662,0.3091882314858744,0.5471869328493648,0.0,0.027777777777777776,0.0020730883958543504
Audi,A4,0.8214285714285694,Semi-Auto,0.029353032052730807,Diesel,0.25862068965517243,0.4543574819824561,0.1923076923076923,0.39821652634391014,0.375,0.0,0.8945243971923289,0.18495031490607014,1.0,0.9589340753906317,0.17857142857142855,0.30032086120217066,0.34289923515842863,0.3062109296229079,0.0,0.027777777777777776,0.0026715957383673873
BMW,4 Series,0.75,Automatic,0.10102508057300484,Diesel,0.21551724137931033,0.5842723672247284,0.1923076923076923,0.5111603798536231,0.25,0.0,0.8723071202050083,0.20800813840995164,0.7617071390650407,0.9589340753906317,0.25,0.37675055858822953,0.36771942467558394,0.31528533978624723,0.0,0.0,0.0033596002105809753
Hyundai,i10,0.8571428571428612,Manual,0.00030959848172904556,Petrol,0.25,0.545574686782016,0.0,0.737048086873049,0.5,0.0,0.16788249282321177,0.16177360140854818,0.0,0.0,0.14285714285714285,0.7404646975540053,0.30919549522292944,0.0,0.0,0.1111111111111111,0.0009972001968130584
Škoda,Fabia,0.7857142857142918,Automatic,0.037154913792302756,Petrol,0.25,0.6137984775070631,0.0,0.7209132506573758,0.25,0.0,0.2795306318130686,0.16759187134879627,0.7617071390650407,0.0,0.21428571428571427,0.8207376188581531,0.3375216484919959,0.07632587215164349,0.0,0.0,0.0009972001968130584
Ford,Fiesta,0.75,Manual,0.06276334619262199,Petrol,0.0,0.6645833871926787,0.0,0.39821652634391014,0.25,0.0,0.1588476258139253,0.1864010523001791,0.0,0.0,0.25,0.8804917459054354,0.34527719754823527,1.0,0.0,0.0,0.2610035149651253
Ford,Focus,0.8214285714285694,Manual,0.03713014591376443,Petrol,0.25,0.5984449001602491,0.0,0.45468845309876665,0.5,0.0,0.1588476258139253,0.21659839265967912,0.0,0.0,0.17857142857142855,0.8026724176578119,0.3520224888995896,1.0,0.0,0.1111111111111111,0.0009972001968130584
Mercedes-Benz,E-class,0.8214285714285694,Semi-Auto,0.04091653534531066,Diesel,0.25,0.5842723672247284,0.1923076923076923,0.2691378366185239,0.375,0.0,1.0,0.21694471719952657,1.0,0.9589340753906317,0.17857142857142855,0.37675055858822953,0.35646426410876153,0.6471062714256908,0.0,0.027777777777777776,0.002790347195215212
Mercedes-Benz,C-class,0.8214285714285694,Semi-Auto,0.028055814414286104,Diesel,0.2520536301651793,0.43799760853316977,0.1923076923076923,0.45468845309876665,0.375,0.0,1.0,0.20098710868057448,1.0,0.9589340753906317,0.17857142857142855,0.2906962506375583,0.3413774822453926,0.6471062714256908,0.0,0.027777777777777776,0.0027613260497134262
Opel,Viva,0.75,Manual,0.06167820953006045,Petrol,0.034482758620689655,0.6303330992651704,0.0,0.3901491082360735,0.375,0.0,0.0,0.17340973062721027,0.0,0.0,0.25,0.8401924509200589,0.34464071611738034,0.47166767493446266,0.0,0.027777777777777776,0.011670694234921114
Volkswagen,Caddy,0.6785714285714306,Manual,0.14086421320189843,Diesel,0.27586206896551724,0.47443523697444373,0.1923076923076923,0.535362634177133,0.375,0.0,0.463296748877857,0.164504756619857,0.0,0.9589340753906317,0.3214285714285714,0.31213272352547067,0.36354519711460687,0.5471869328493648,0.0,0.027777777777777776,0.0024562204253266114
BMW,1 Series,0.7142857142857224,Semi-Auto,0.09801887931541581,Petrol,0.5456675678862523,0.35869288466769195,0.3846153846153846,0.5676323066084796,0.75,0.0,0.8723071202050083,0.1427481159638404,1.0,0.0,0.2857142857142857,0.15186196415834122,0.3544572935604472,0.31528533978624723,1.0,0.4444444444444444,0.0016778487139045351
Mercedes-Benz,E-class,0.8214285714285694,Automatic,0.015476828101634987,Petrol,0.25,0.27247664264327487,0.3846153846153846,0.9968353544168055,0.625,0.0,1.0,0.21694471719952657,0.7617071390650407,0.0,0.17857142857142855,0.11804761319360008,0.3266212004180291,0.6471062714256908,1.0,0.25,0.004583494193617365
Mercedes-Benz,A-class,0.8214285714285694,Semi-Auto,0.011668766776367728,Petrol,0.25862068965517243,0.5181338801922989,0.05769230769230771,0.5192277979614597,0.75,0.0,1.0,0.16607347756415897,1.0,0.0,0.17857142857142855,0.5372529230989529,0.32215400212916445,0.6471062714256908,1.0,0.4444444444444444,0.0014579558493826184
Volkswagen,Tigua,0.7142857142857224,Semi-Auto,0.0787216059492444,Diesel,0.21551724137931033,0.5689187898779144,0.1923076923076923,0.535362634177133,0.625,0.0,0.463296748877857,0.25605261144893876,1.0,0.9589340753906317,0.2857142857142857,0.3677179579880589,0.3454023189476038,0.5471869328493648,1.0,0.25,0.0033596002105809753
Ford,Focus,0.8214285714285694,Automatic,0.04159765200511456,Petrol,0.25,0.4838835922647908,0.0,0.7289806687652124,0.375,0.0,0.1588476258139253,0.21659839265967912,0.7617071390650407,0.0,0.17857142857142855,0.6678782240860354,0.3572632751848186,1.0,0.0,0.027777777777777776,0.0009972001968130584
Ford,Mondeo,0.7142857142857224,Manual,0.2662175424691717,Diesel,0.0,0.815757071838232,0.09615384615384615,0.4627558712066033,0.625,0.0,0.1588476258139253,0.20609374619227883,0.0,0.9589340753906317,0.2857142857142857,0.6947444207429531,0.4333821549059557,1.0,1.0,0.25,0.3919032458484826
Škoda,Citigo,0.7857142857142918,Manual,0.0039102288242378455,Petrol,0.25,0.6834800977733728,0.0,0.49502554363794987,0.25,0.0,0.2795306318130686,0.13794777234442607,0.0,0.0,0.21428571428571427,0.9027258396904707,0.3115223123262351,0.07632587215164349,0.0,0.0,0.0009972001968130584
Mercedes-Benz,C-class,0.8214285714285694,Semi-Auto,0.26843691430817185,Diesel,0.25,0.6137984775070631,0.1923076923076923,0.22880074607934067,0.75,0.0,1.0,0.20098710868057448,1.0,0.9589340753906317,0.17857142857142855,0.3941209443577884,0.6233661232886156,0.6471062714256908,1.0,0.4444444444444444,0.002790347195215212
Toyota,Rav4,0.8214285714285694,Automatic,0.02202793197502159,Hybrid,0.24137931034482757,0.47443523697444373,0.28846153846153844,0.5918345609319895,0.75,0.0,0.1514357428353864,0.2678041584315246,0.7617071390650407,1.0,0.17857142857142855,0.24320703279186126,0.33430623422228734,0.09901189755999196,1.0,0.4444444444444444,0.003845887626898749
BMW,1 Series,0.8214285714285694,Semi-Auto,0.013907163799268726,Petrol,0.25,0.3405843649660042,0.1923076923076923,0.5192277979614597,0.75,0.0,0.8723071202050083,0.1427481159638404,1.0,0.0,0.17857142857142855,0.23338746178439054,0.3247798430745703,0.31528533978624723,1.0,0.4444444444444444,0.002790347195215212
Mercedes-Benz,C-class,0.8214285714285694,Automatic,0.05239954303264095,Petrol,0.2521522399120029,0.37788607662694734,0.09615384615384615,0.24493558229501397,0.5,0.0,1.0,0.20098710868057448,0.7617071390650407,0.0,0.17857142857142855,0.3512749499868137,0.36993486447737856,0.6471062714256908,0.0,0.1111111111111111,0.0018709715595717558
Ford,Grand C-max,0.75,Manual,0.11493224437227358,Diesel,0.05172413793103448,0.6468677210232779,0.09615384615384615,0.4708232893144399,0.375,0.0,0.1588476258139253,0.19415301052563141,0.0,0.9589340753906317,0.25,0.5622662786071178,0.3758766013884213,1.0,0.0,0.027777777777777776,0.011871769090348702
Hyundai,Tucson,0.75,Semi-Auto,0.04169981950408514,Diesel,0.21551724137931033,0.5689187898779144,0.13461538461538458,0.7289806687652124,0.25,0.0,0.16788249282321177,0.23911139252776556,1.0,0.9589340753906317,0.25,0.4383439029522887,0.33292249231329757,0.0,0.0,0.0,0.002736268158755464
BMW,2 Series,0.8571428571428612,Semi-Auto,0.0003065024969117551,Diesel,0.25862068965517243,0.47443523697444373,0.1923076923076923,0.49502554363794987,0.5,0.0,0.8723071202050083,0.1823914450900335,1.0,0.9589340753906317,0.14285714285714285,0.31213272352547067,0.3091882314858744,0.31528533978624723,0.0,0.1111111111111111,0.0026715957383673873
Mercedes-Benz,A-class,0.7857142857142918,Automatic,0.032074402707129114,Diesel,0.25,0.702376808354067,0.09615384615384615,0.2852726728341972,0.25,0.0,1.0,0.16607347756415897,0.7617071390650407,0.9589340753906317,0.21428571428571427,0.6058080456028119,0.3335483843228756,0.6471062714256908,0.0,0.0,0.001893773696014135
Toyota,Yaris,0.75,Manual,0.0838857086244849,Petrol,0.25,0.5842723672247284,0.09615384615384615,0.4708232893144399,0.75,0.0,0.1514357428353864,0.19242508080648957,0.0,0.0,0.25,0.5131659881651648,0.35766641259137466,0.09901189755999196,1.0,0.4444444444444444,0.001893773696014135
Opel,Crossland X,0.7857142857142918,Manual,0.01952018427301632,Diesel,0.24137931034482757,0.815757071838232,0.11538461538461542,0.7531829230887223,0.375,0.0,0.0,0.23541226724504993,0.0,0.9589340753906317,0.21428571428571427,0.6492919113126074,0.32373023307011345,0.47166767493446266,0.0,0.027777777777777776,0.0021748272326431255
Mercedes-Benz,E-class,0.7857142857142918,Automatic,0.09684240508484543,Diesel,0.25,0.7437133627493355,0.1923076923076923,0.7854525955200689,0.25,0.0,1.0,0.21694471719952657,0.7617071390650407,0.9589340753906317,0.21428571428571427,0.47055064174384725,0.3842008440535252,0.6471062714256908,0.0,0.0,0.002790347195215212
Opel,Mokka X,0.8214285714285694,Manual,0.03687627515874661,Petrol,0.25,0.3516066181999317,0.07692307692307687,0.7854525955200689,0.5024725143306381,0.0,0.0,0.2298096638299723,0.0,0.0,0.17857142857142855,0.3566009110955413,0.35172467568033194,0.47166767493446266,1.0,0.11331976976432763,0.00171445899617392
Škoda,Superb,0.7857142857142918,Semi-Auto,0.06022928863556851,Petrol,0.25,0.5299443243052328,0.07692307692307687,0.2691378366185239,0.75,0.0,0.2795306318130686,0.25519473924627817,1.0,0.0,0.21428571428571427,0.5064825254500203,0.35556719258246106,0.07632587215164349,1.0,0.4444444444444444,0.00171445899617392
Hyundai,i10,0.8214285714285694,Manual,0.004931903813943696,Petrol,0.25,0.4354607714017619,0.038461538461538436,0.648306487686846,0.5,0.0,0.16788249282321177,0.16177360140854818,0.0,0.0,0.17857142857142855,0.5036701772778059,0.31425105621325433,0.0,0.0,0.1111111111111111,0.001355829596493489
Mercedes-Benz,A-class,0.6785714285714306,Manual,0.13120164458713493,Diesel,0.034482758620689655,0.7437133627493355,0.1327044374395926,0.44662103499093,0.5,0.0,1.0,0.16607347756415897,0.0,0.9589340753906317,0.3214285714285714,0.562803202093927,0.35976684322313085,0.6471062714256908,0.0,0.1111111111111111,0.020273462879580536
BMW,4 Series,0.7142857142857224,Manual,0.05134071622512762,Diesel,0.05172413793103448,0.6303330992651704,0.1923076923076923,0.5272952160692964,0.5,0.0,0.8723071202050083,0.20800813840995164,0.0,0.9589340753906317,0.2857142857142857,0.4038483603887413,0.3325542208446058,0.31528533978624723,0.0,0.1111111111111111,0.016094341054327964
Ford,Ka+,0.5357142857142918,Manual,0.03095675218808726,Petrol,0.25,0.4543574819824561,0.038233870260276526,0.5676323066084796,0.5,0.0,0.1588476258139253,0.16298433423884862,0.0,0.0,0.46428571428571425,0.5227463696358616,0.3157255948354324,1.0,0.0,0.1111111111111111,0.001353706735224522
Mercedes-Benz,Glc-class,0.75,Unknown,0.1627032901030653,Diesel,0.21551724137931033,0.5560778733525328,0.21153846153846156,0.5272952160692964,0.625,0.0,1.0,0.2848482952423543,0.38866304113396477,0.9589340753906317,0.25,0.34146550870680015,0.40389646707833254,0.6471062714256908,1.0,0.25,0.0035673775611894786
Mercedes-Benz,A-class,0.75,Semi-Auto,0.07584853203879886,Diesel,0.25,0.702376808354067,0.13197674351960548,0.41435136255958344,0.375,0.0,1.0,0.16607347756415897,1.0,0.9589340753906317,0.25,0.5352962105578476,0.35295224724263785,0.6471062714256908,0.0,0.027777777777777776,0.0022277994446186305
Volkswagen,Golf,0.8214285714285694,Manual,0.03908990430310929,Petrol,0.25,0.4354607714017619,0.09615384615384615,0.6967109963338658,0.75,0.0,0.463296748877857,0.2070455123168875,0.0,0.0,0.17857142857142855,0.3964369957937295,0.3543214616775175,0.5471869328493648,1.0,0.4444444444444444,0.001893773696014135
BMW,4 Series,0.7142857142857224,Automatic,0.2506168749748451,Diesel,0.05172413793103448,0.6645833871926787,0.1923076923076923,0.5030929617457864,0.375,0.0,0.8723071202050083,0.20800813840995164,0.7617071390650407,0.9589340753906317,0.2857142857142857,0.42399800788142955,0.42606176070186175,0.31528533978624723,0.0,0.027777777777777776,0.016094341054327964
Opel,Meriva,0.5357142857142918,Automatic,0.17027606896615777,Diesel,0.4051724137931034,0.4094777943533076,0.13461538461538458,0.34981201769689035,0.625,0.0,0.0,0.1742050805785888,0.7617071390650407,0.9589340753906317,0.46428571428571425,0.32799086394567967,0.34841241158322256,0.47166767493446266,1.0,0.25,0.001089896778933848
Ford,Ecosport,0.6785714285714306,Manual,0.07539032628583987,Petrol,0.21551724137931033,0.506323436079365,0.0,0.4708232893144399,0.5,0.0,0.1588476258139253,0.20784177251434968,0.0,0.0,0.3214285714285714,0.6942812104557647,0.3379429452411896,1.0,0.0,0.1111111111111111,0.0012818267044959401
Škoda,Rapid,0.7857142857142918,Manual,0.08145536054291189,Petrol,0.25862068965517243,0.6137984775070631,0.0,0.3417445995890537,0.75,0.0,0.2795306318130686,0.15210224004683093,0.0,0.0,0.21428571428571427,0.8207376188581531,0.3721672529989684,0.07632587215164349,1.0,0.4444444444444444,0.0009378244683891461
Mercedes-Benz,C-class,0.5357142857142918,Automatic,0.05106826956120606,Petrol,0.25,0.4354607714017619,0.09615384615384615,0.5676323066084796,0.5,0.0,1.0,0.20098710868057448,0.7617071390650407,0.0,0.46428571428571425,0.3964369957937295,0.3204441184264023,0.6471062714256908,0.0,0.1111111111111111,0.001893773696014135
Toyota,C-hr,0.75,Automatic,0.06208687952594279,Hybrid,0.0,0.7661532065639097,0.15384615384615385,0.5514974703928063,0.75,0.0,0.1514357428353864,0.28609835561159247,0.7617071390650407,1.0,0.25,0.5411130088255216,0.3448804194401974,0.09901189755999196,1.0,0.4444444444444444,0.47044308437849686
BMW,5 Series,0.6785714285714306,Automatic,0.31278425010603744,Diesel,0.034482758620689655,0.702376808354067,0.1923076923076923,0.7209132506573758,0.625,0.0,0.8723071202050083,0.21113859412810343,0.7617071390650407,0.9589340753906317,0.3214285714285714,0.4462321016664649,0.43077108355922855,0.31528533978624723,1.0,0.25,0.024137335271431325
Ford,S-MAX,0.75,Manual,0.13157625875002707,Diesel,0.21551724137931033,0.49569403637772463,0.1923076923076923,0.4708232893144399,0.625,0.0,0.1588476258139253,0.25882883134175116,0.0,0.9589340753906317,0.25,0.32463940127955304,0.38563906399042797,1.0,1.0,0.25,0.0033596002105809753
Opel,Mokka,0.6071428571428612,Manual,0.1870686906151412,Diesel,0.05394731621863483,0.6303330992651704,0.13461538461538458,0.357879435804727,0.75,0.0,0.0,0.19719643324008138,0.0,0.9589340753906317,0.39285714285714285,0.48085025871779735,0.3633248637572699,0.47166767493446266,1.0,0.4444444444444444,0.012987477068441883
Audi,A7,0.75,Semi-Auto,0.09334084625648995,Diesel,0.25,0.6303330992651704,0.3846153846153846,0.5030929617457864,0.375,0.0,0.8945243971923289,0.25409435452180007,1.0,0.9589340753906317,0.25,0.2584003302116354,0.36321227583291643,0.3062109296229079,0.0,0.027777777777777776,0.004583494193617365
Mercedes-Benz,A-class,0.7142857142857224,Manual,0.11566289678915412,Diesel,0.05172413793103448,0.6303330992651704,0.21153846153846156,0.30947492715770714,0.25,0.0,1.0,0.16607347756415897,0.0,0.9589340753906317,0.2857142857142857,0.38307007036344043,0.3627365010558097,0.6471062714256908,0.0,0.0,0.01693885544712382
BMW,4 Series,0.642857142857153,Semi-Auto,0.15007167204852023,Diesel,0.27586206896551724,0.506323436079365,0.5428380474944945,0.43048619877525673,0.25,0.0,0.8723071202050083,0.20800813840995164,1.0,0.9589340753906317,0.3571428571428571,0.157622757528344,0.35876219920996727,0.31528533978624723,0.0,0.0,0.005420177091588477
Volkswagen,Touran,0.75,Semi-Auto,0.07432221152387468,Diesel,0.25862068965517243,0.4838835922647908,0.11538461538461542,0.5192277979614597,0.375,0.0,0.463296748877857,0.21771493806767253,1.0,0.9589340753906317,0.25,0.40523799125030596,0.35205699165060117,0.5471869328493648,0.0,0.027777777777777776,0.001978087230376091
Opel,Insignia,0.7142857142857224,Manual,0.13792368206242744,Diesel,0.034482758620689655,0.702376808354067,0.11538461538461542,0.48695812553011325,0.5,0.0,0.0,0.21939485347832108,0.0,0.9589340753906317,0.2857142857142857,0.5659140596187251,0.37318206202634585,0.47166767493446266,0.0,0.1111111111111111,0.019150678856827242
Opel,Astra,0.75,Manual,0.03430041579076096,Petrol,0.25862068965517243,0.49569403637772463,0.07692307692307687,0.6967109963338658,0.75,0.0,0.0,0.21009879375613122,0.0,0.0,0.25,0.47769731474618,0.3285824094228965,0.47166767493446266,1.0,0.4444444444444444,0.0016313329763804425
Škoda,Octavia,0.8214285714285694,Automatic,0.007736866058408848,Petrol,0.25,0.31145110821595656,0.1923076923076923,0.4062839444517468,0.375,0.0,0.2795306318130686,0.20620235002112755,0.7617071390650407,0.0,0.17857142857142855,0.21624819407750592,0.3175415290991985,0.07632587215164349,0.0,0.027777777777777776,0.002790347195215212
Ford,Grand C-max,0.8214285714285694,Manual,0.055925869739534784,Petrol,0.25,0.4543574819824561,0.0,0.3014075090498705,0.75,0.0,0.1588476258139253,0.19415301052563141,0.0,0.0,0.17857142857142855,0.6331374525469177,0.3740715627302378,1.0,1.0,0.4444444444444444,0.0009972001968130584
Audi,Q3,0.8214285714285694,Manual,0.011232232917129773,Petrol,0.25,0.35869288466769195,0.10667483502968877,0.6805761601181926,0.375,0.0,0.8945243971923289,0.20972261098831188,0.0,0.0,0.17857142857142855,0.3232448183026151,0.32164190866678244,0.3062109296229079,0.0,0.027777777777777776,0.0019918752300534218
BMW,5 Series,0.8214285714285694,Semi-Auto,0.016483023167254383,Diesel,0.25,0.5984449001602491,0.1923076923076923,0.33367718148121706,0.75,0.0,0.8723071202050083,0.21113859412810343,1.0,0.9589340753906317,0.17857142857142855,0.3850883437576178,0.3278015576894771,0.31528533978624723,1.0,0.4444444444444444,0.002790347195215212
Opel,Astra,0.7142857142857224,Manual,0.15857634234161713,Petrol,0.21551724137931033,0.49569403637772463,0.07692307692307687,0.45468845309876665,0.25,0.0,0.0,0.21009879375613122,0.0,0.0,0.2857142857142857,0.47769731474618,0.3828730329198594,0.47166767493446266,0.0,0.0,0.002112936106929954
