Brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage
Ford,Focus,2017,9299.0,Manual,39904.0,Petrol,20.0,61.4,1.0,41.0,4,0.0
Mercedes-Benz,SLK-Class,2011,10995.0,Automatic,40000.0,Petrol,200.0,43.5,1.8,41.0,2,0.0
Opel,Viva,2016,6100.0,Manual,24285.0,Petrol,20.0,62.8,1.0,81.0,0,0.0
Volkswagen,T-Roc,2018,23000.0,Semi-Auto,584.0,Petrol,150.0,41.5,2.0,79.0,1,0.0
Ford,Focus,2015,13549.0,Manual,42322.0,Diesel,,,2.0,35.0,2,0.0
Škoda,Fabia,2020,13990.0,Manual,3560.0,Petrol,145.0,52.3,1.0,50.0,0,0.0
Ford,Ka+,2018,8500.0,Manual,6785.0,Petrol,,47.9,1.2,55.0,4,0.0
Ford,EcoSport,2016,9990.0,Manual,14398.0,Petrol,125.0,53.3,1.0,87.0,0,0.0
Hyundai,Tucson,2018,12556.0,Manual,20443.0,Petrol,145.0,44.8,1.6,63.0,4,0.0
Mercedes-Benz,A-Class,2020,26500.0,Semi-Auto,3500.0,Diesel,150.0,56.5,2.0,64.0,3,
Ford,EcoSport,2018,14650.0,Manual,8200.0,Petrol,145.0,51.4,1.0,51.0,0,0.0
Ford,,2019,9999.0,Manual,10000.0,Petrol,145.0,47.9,,61.0,3,0.0
Mercedes-Benz,C-Class,2018,26748.0,Automatic,17970.0,Diesel,,,2.1,77.0,1,0.0
Mercedes-Benz,X-Class,2018,29490.0,Automatic,5000.0,Diesel,250.0,35.8,2.3,60.0,3,0.0
Toyota,Yaris,2014,10490.0,Automatic,34528.0,Hybrid,0.0,80.7,1.5,79.0,1,0.0
Mercedes-Benz,CL-Class,2020,27990.0,Semi-Auto,999.0,Petrol,145.0,44.8,1.3,72.0,3,0.0
BMW,5 Series,2019,36875.0,Semi-Auto,10.0,Diesel,145.0,53.3,3.0,34.0,0,0.0
Hyundai,ix20,2017,8499.0,Manual,9870.0,Petrol,125.0,50.4,1.4,55.0,3,0.0
Hyundai,i20,2015,6499.0,Manual,48072.0,Petrol,30.0,,1.2,88.0,1,0.0
Škoda,Rapid,2016,7991.0,Manual,33395.0,Diesel,0.0,67.3,1.6,,3,0.0
Volkswagen,Golf,2017,13750.0,Manual,19398.0,Petrol,30.0,53.3,1.4,43.0,4,0.0
Audi,A1,2016,16000.0,Semi-Auto,25470.0,Petrol,30.0,,1.4,61.0,0,0.0
Audi,A3,2016,11871.0,Manual,52519.0,Diesel,20.0,72.4,1.6,60.0,2,0.0
Ford,Fiesta,2013,6500.0,Manual,43181.0,Petrol,0.0,65.7,1.0,88.0,0,0.0
Ford,Fiesta,2015,5991.0,Manual,61292.0,Petrol,0.0,65.7,1.0,31.0,2,0.0
Toyota,Auris,2013,6095.0,Manual,55707.0,Diesel,20.0,67.3,1.4,94.0,1,0.0
Volkswagen,Sharan,2019,21779.0,Manual,14020.0,Diesel,150.0,43.5,2.0,43.0,2,0.0
Škoda,Fabia,2016,7995.0,Manual,32456.0,Petrol,20.0,60.1,1.2,47.0,0,0.0
Hyundai,i20,2020,13966.0,Manual,3500.0,Petrol,145.0,47.9,1.0,41.0,2,0.0
Opel,Adam,2019,9995.0,Manual,9.0,Petrol,145.0,44.8,1.2,51.0,4,0.0
Mercedes-Benz,A-Class,2017,13500.0,Manual,,Diesel,150.0,72.4,1.5,32.0,2,0.0
Volkswagen,Golf,2017,12965.0,Manual,32000.0,Petrol,150.0,54.3,1.4,97.0,0,0.0
Mercedes-Benz,C-Class,2019,37500.0,Semi-Auto,10261.0,Petrol,,,3.0,74.0,3,0.0
Ford,Fiesta,2015,5699.0,Manual,50577.0,Petrol,125.0,54.3,1.2,33.0,0,0.0
Volkswagen,Passat,2019,31799.0,Semi-Auto,4845.0,Diesel,145.0,37.2,2.0,45.0,1,0.0
BMW,X3,2019,31196.0,Automatic,10155.0,Diesel,145.0,54.3,2.0,96.0,3,0.0
Ford,,2015,7099.0,Manual,74176.0,Diesel,,,1.5,84.0,2,
Volkswagen,Golf,2019,25499.0,Semi-Auto,7210.0,Diesel,145.0,49.6,2.0,40.0,1,0.0
Mercedes-Benz,E-Class,2019,26995.0,Automatic,7475.0,Petrol,145.0,42.2,2.0,70.0,2,0.0
Mercedes-Benz,C-Class,2017,25092.0,Automatic,86705.85488462522,Diesel,,,2.1,68.0,2,0.0
Ford,EcoSport,2017,9815.0,Manual,20000.0,Petrol,145.0,52.3,1.0,45.0,1,0.0
Audi,A8,2017,38995.0,Automatic,3338.0,,145.0,,3.0,84.0,0,0.0
Hyundai,i20,2017,9995.0,Automatic,19595.0,Petrol,145.0,45.6,1.4,86.0,1,0.0
Ford,Fiesta,2017,8930.0,,,Petrol,145.0,54.3,1.2,97.0,0,0.0
Ford,Focus,2017,9699.0,Manual,47843.0,Petrol,145.0,60.1,1.0,92.0,2,0.0
Mercedes-Benz,GLS-Class,2019,67600.0,Automatic,2010.0,Diesel,145.0,34.0,3.0,52.0,0,0.0
Ford,B-MAX,2016,9498.0,Manual,14853.0,Diesel,0.0,74.4,1.5,,1,0.0
Mercedes-Benz,E-Class,2015,15999.0,Semi-Auto,25787.0,Diesel,125.0,,2.1,46.0,2,0.0
Mercedes-Benz,C-Class,2019,49499.0,Semi-Auto,1000.0,Petrol,145.0,29.1,3.0,,2,0.0
Audi,A4,2019,28000.0,Automatic,3838.0,Petrol,145.0,40.9,2.0,57.0,4,0.0
Hyundai,Kona,2019,15498.0,Manual,15.0,Petrol,145.0,44.1,1.0,39.0,3,0.0
Hyundai,i10,2019,8690.0,Manual,2362.0,Petrol,145.0,60.1,1.0,42.0,0,0.0
Audi,A1,2016,10999.0,Manual,,Diesel,0.0,76.3,1.6,97.0,3,0.0
Ford,Fiesta,2018,15000.0,Manual,22006.0,Petrol,145.0,40.3,1.5,54.0,1,0.0
Škoda,Fabia,2017,7995.0,Manual,36200.0,Petrol,20.0,60.1,1.2,32.0,2,0.0
Ford,Fiesta,2017,8700.0,Manual,10313.0,Petrol,145.0,64.2,1.1,73.0,3,0.0
Opel,Mokka,2016,10500.0,Manual,10481.0,Petrol,200.0,40.9,1.6,86.0,0,0.0
Ford,Fiesta,2017,11795.0,Manual,14713.0,Petrol,20.0,62.8,1.0,96.0,3,0.0
Mercedes-Benz,GLC-Class,2016,23490.0,Semi-Auto,33622.0,Diesel,125.0,56.5,2.1,81.0,0,0.0
Opel,Corsa,2019,9994.0,Manual,1042.0,Petrol,145.0,43.5,1.4,78.0,0,0.0
Ford,Fiesta,2018,9980.0,Manual,8770.0,Petrol,150.0,64.2,1.1,41.0,4,0.0
Opel,Adam,2017,8494.0,Manual,17412.0,Petrol,150.0,52.3,1.4,37.0,2,0.0
Audi,A3,2019,17995.0,Manual,7062.0,Diesel,145.0,49.6,1.6,38.0,0,0.0
Ford,Focus,2019,17498.0,Automatic,13743.0,Petrol,150.0,51.4,1.0,65.0,3,0.0
Ford,S-MAX,2016,15800.0,Manual,29246.0,Diesel,125.0,56.5,2.0,34.0,4,0.0
BMW,X2,2019,23633.0,Manual,,Diesel,145.0,53.3,2.0,97.0,2,0.0
Volkswagen,Golf,2019,19950.0,Semi-Auto,3500.0,Diesel,145.0,52.3,2.0,61.0,0,0.0
Ford,Focus,2019,15360.0,Manual,10567.0,Petrol,145.0,58.9,1.0,73.0,1,0.0
Volkswagen,Polo,2018,12900.0,Manual,1500.0,Petrol,145.0,60.1,1.0,75.0,1,0.0
Hyundai,i30,2019,14990.0,,1247.0,Petrol,145.0,45.6,1.0,82.0,0,0.0
BMW,X3,2016,20000.0,,34334.0,Diesel,150.0,54.3,2.0,94.0,0,0.0
Toyota,Yaris,2019,11280.0,Manual,6065.0,Petrol,145.0,47.9,1.5,,0,0.0
Opel,Crossland X,2019,13498.0,Manual,3056.0,Petrol,145.0,47.1,1.2,75.0,4,0.0
Volkswagen,Tiguan,2019,29999.0,Semi-Auto,669.0,Diesel,145.0,39.8,2.0,42.0,,0.0
Opel,Mokka X,2017,13995.0,Semi-Auto,5149.0,Petrol,160.0,43.5,1.4,71.0,3,0.0
Ford,Fiesta,2016,9500.0,Manual,14879.0,Petrol,0.0,65.7,1.0,97.0,1,0.0
Mercedes-Benz,E-Class,2019,28200.0,Semi-Auto,13615.0,Diesel,145.0,58.9,2.0,93.0,2,0.0
Audi,A5,2019,26990.0,Automatic,9000.0,Petrol,145.0,39.8,2.0,89.0,3,0.0
Opel,,2016,8695.0,Manual,39460.0,Petrol,125.0,50.4,1.4,99.0,1,0.0
Ford,Focus,2018,15490.0,Manual,12900.0,Petrol,145.0,60.1,1.0,86.0,4,0.0
Toyota,Aygo,2017,7299.0,Manual,48238.0,Petrol,0.0,68.9,,80.0,0,0.0
Volkswagen,Polo,2019,12990.0,Manual,11866.0,Petrol,150.0,48.7,1.0,47.0,2,0.0
Mercedes-Benz,GLE-Class,2017,29480.0,Semi-Auto,27252.0,Diesel,145.0,42.8,3.0,97.0,0,0.0
Opel,Corsa,2016,7200.0,Manual,42483.0,Petrol,30.0,55.4,1.4,30.0,2,0.0
Hyundai,i10,2017,8995.0,Semi-Auto,23000.0,Petrol,145.0,47.9,1.2,87.0,1,0.0
Ford,Fiesta,2019,14899.0,Manual,9063.0,Petrol,145.0,58.9,1.0,54.0,1,0.0
Volkswagen,Golf,2015,9883.0,Manual,25724.0,Diesel,0.0,68.9,1.6,85.0,2,0.0
Opel,Mokka,2016,9650.0,Manual,22009.0,Diesel,20.0,68.9,1.6,36.0,4,0.0
Mercedes-Benz,C-Class,2018,22998.0,Semi-Auto,18739.0,Diesel,,,2.1,66.0,0,0.0
Ford,Focus,2013,7300.0,Manual,,Diesel,20.0,67.3,1.6,96.0,3,0.0
Opel,Mokka X,2018,11540.0,Manual,32810.0,Petrol,145.0,47.1,1.4,64.0,0,0.0
Opel,Zafira,2017,14495.0,Automatic,1000.0,Petrol,200.0,40.9,1.4,81.0,2,0.0
Ford,B-MAX,2017,9998.0,Manual,6997.0,Petrol,150.0,47.1,1.4,80.0,0,0.0
Volkswagen,Passat,2019,23790.0,Semi-Auto,5831.0,Petrol,145.0,40.4,2.0,86.0,3,0.0
Toyota,Aygo,2019,10195.0,Manual,2114.0,Petrol,145.0,57.7,1.0,,4,0.0
Hyundai,i30,2015,7698.0,Manual,35259.0,Diesel,0.0,78.4,1.6,90.0,2,0.0
Ford,Ka+,2018,7600.0,Manual,22199.0,Petrol,145.0,57.7,1.2,74.0,0,0.0
Hyundai,Ioniq,2017,17795.0,Automatic,,Hybrid,135.0,78.5,1.6,54.0,0,0.0
Volkswagen,Polo,2017,9765.0,Manual,39913.0,Diesel,0.0,,1.4,70.0,3,0.0
Volkswagen,Tiguan,2016,11990.0,Manual,58874.0,Diesel,145.0,53.3,2.0,30.0,0,0.0
Ford,,2016,9632.0,Manual,18814.0,Petrol,20.0,62.8,1.0,74.0,,0.0
Ford,Focus,2018,14500.0,Automatic,22587.0,Petrol,,,1.0,69.0,4,0.0
BMW,5 Series,2019,26350.0,Semi-Auto,9334.0,Diesel,145.0,65.7,2.0,50.0,4,0.0
Ford,Fiesta,2019,12850.0,Manual,5.0,Petrol,145.0,48.7,1.1,39.0,4,0.0
Ford,S-MAX,2016,14120.0,Manual,42750.0,Diesel,125.0,56.5,2.0,70.0,2,0.0
Volkswagen,Passat,2018,18900.0,Manual,18000.0,Diesel,145.0,68.9,2.0,44.0,4,0.0
Ford,Fiesta,2017,8242.0,Manual,21211.0,Petrol,0.0,65.7,1.0,71.0,4,0.0
Toyota,Yaris,2017,10795.0,Unknown,12091.0,Petrol,145.0,58.9,1.5,36.0,0,0.0
Ford,Focus,2014,6999.0,Manual,41633.0,Petrol,,,1.0,54.0,1,0.0
Audi,A6,2019,29896.0,Semi-Auto,3411.0,Diesel,145.0,47.9,2.0,31.0,2,0.0
Ford,Mondeo,2017,15250.0,Manual,19652.0,Diesel,30.0,62.8,2.0,80.0,0,0.0
Mercedes-Benz,C-Class,2019,25249.0,Semi-Auto,1729.0,Petrol,145.0,45.6,1.5,59.0,0,0.0
Volkswagen,Polo,2020,19950.0,Semi-Auto,2000.0,Petrol,150.0,46.3,1.0,55.0,3,0.0
BMW,3 Series,2014,10399.0,Manual,47059.0,Diesel,,61.4,2.0,69.0,3,0.0
Ford,Focus,2015,11490.0,Unknown,45000.0,Diesel,,,2.0,62.0,1,0.0
Mercedes-Benz,C-Class,2019,66699.0,Semi-Auto,630.0,Petrol,,28.5,4.0,32.0,2,0.0
Škoda,Yeti Outdoor,2016,11495.0,Semi-Auto,28600.0,Petrol,,51.4,1.2,31.0,3,0.0
Ford,Focus,2019,15690.0,Manual,10000.0,Diesel,,,1.5,80.0,0,0.0
Ford,Fiesta,2018,10491.0,Manual,6522.0,Petrol,145.0,65.7,1.0,125.10995148245615,3,0.0
Volkswagen,Polo,2017,11699.0,Manual,27500.0,Petrol,150.0,65.7,1.0,55.0,4,0.0
Ford,Focus,2012,6295.0,Manual,68000.0,Diesel,,,1.6,,4,0.0
BMW,X1,2016,18500.0,Automatic,27000.0,Diesel,145.0,55.4,2.0,38.0,3,0.0
Volkswagen,Polo,2019,12995.0,Manual,2643.0,Petrol,145.0,52.3,1.0,81.0,2,0.0
,CL-Class,2020,54995.0,Semi-Auto,,Petrol,145.0,33.2,2.0,61.0,4,0.0
Audi,Q3,2015,14290.0,Automatic,18693.0,Diesel,145.0,55.4,2.0,3.11529529741442,1,0.0
Škoda,Fabia,2020,14257.0,Manual,2777.0,Petrol,150.0,51.4,1.0,43.0,0,0.0
Audi,TT,2016,17700.0,Manual,33538.0,Diesel,30.0,61.4,2.0,82.0,2,0.0
Volkswagen,Polo,2019,12998.0,Manual,9790.0,Petrol,150.0,48.7,1.0,38.0,0,0.0
Ford,Focus,2019,30359.0,Manual,2068.0,Petrol,,,2.3,96.0,3,0.0
Mercedes-Benz,A-Class,2019,22995.0,Semi-Auto,10231.0,Petrol,145.0,53.3,1.3,67.0,3,0.0
Mercedes-Benz,C-Class,2016,38349.0,Semi-Auto,22000.0,Petrol,300.0,34.5,4.0,96.0,1,0.0
Volkswagen,T-Roc,2020,27490.0,Manual,3001.0,Petrol,145.0,42.2,1.5,83.0,2,0.0
Opel,,2016,6999.0,Manual,45367.0,Petrol,30.0,55.4,1.4,41.0,2,0.0
Audi,A5,2020,30000.0,Semi-Auto,1000.0,Diesel,145.0,50.4,2.0,79.0,0,0.0
Mercedes-Benz,C-Class,2019,32998.0,Semi-Auto,4500.0,Petrol,145.0,42.2,2.0,60.0,3,0.0
Volkswagen,Golf,2019,17298.0,Manual,8452.0,Petrol,145.0,47.1,1.5,61.0,1,0.0
Ford,Focus,2017,12750.0,Manual,3640.0,Petrol,,,1.0,90.0,4,0.0
Volkswagen,Polo,2016,8650.0,Manual,32800.0,Petrol,20.0,60.1,1.0,54.0,4,0.0
Audi,Q3,2013,13895.0,Automatic,42000.0,Diesel,205.0,47.9,2.0,70.0,0,0.0
BMW,4 Series,2019,23591.0,Semi-Auto,6100.0,Petrol,145.0,45.6,2.0,125.5694985978357,2,0.0
Ford,Fiesta,2017,11998.0,Manual,8966.0,Petrol,145.0,65.7,1.0,66.0,0,0.0
Audi,A4,2017,14650.0,Manual,40583.0,Petrol,,51.4,1.4,36.0,0,0.0
Opel,Insignia,2017,7695.0,Manual,51840.0,Diesel,0.0,74.3,,76.0,2,0.0
Škoda,Scala,2020,17000.0,Manual,731.0,Petrol,150.0,50.4,1.0,88.0,,0.0
Mercedes-Benz,S-Class,2017,36890.0,Automatic,22657.0,Hybrid,20.0,61.4,2.1,54.0,4,0.0
Ford,Fiesta,2016,10940.0,Automatic,14260.0,Petrol,0.0,57.7,1.0,99.0,1,0.0
BMW,1 Series,2017,14495.0,,20031.0,Petrol,30.0,58.9,1.5,81.0,4,0.0
Mercedes-Benz,C-Class,2017,32995.0,Automatic,10750.0,Petrol,260.0,35.3,3.0,54.0,1,0.0
Mercedes-Benz,C-Class,2019,27099.0,Semi-Auto,1059.0,Petrol,145.0,45.6,1.5,87.0,,0.0
Ford,Focus,2018,13350.0,Semi-Auto,8207.0,Petrol,,,1.0,48.0,2,0.0
Opel,Mokka,2015,8998.0,Manual,30590.0,Diesel,20.0,68.9,1.6,3.1726830595677384,1,0.0
BMW,1 Series,2015,12300.0,Automatic,32694.0,Diesel,20.0,72.4,1.5,73.0,1,0.0
Škoda,Yeti Outdoor,2017,14799.0,Manual,13936.0,Petrol,145.0,51.4,1.2,75.0,0,0.0
Mercedes-Benz,C-Class,2019,24950.0,Automatic,7006.0,Petrol,145.0,47.1,1.5,56.0,3,0.0
Volkswagen,Up,2018,8600.0,Manual,3980.0,Petrol,145.0,54.3,1.0,65.0,1,0.0
Škoda,Kamiq,2019,21999.0,Manual,2000.0,Petrol,145.0,47.1,1.0,83.0,0,0.0
Mercedes-Benz,C-Class,2019,28900.0,Automatic,11530.0,Diesel,145.0,57.7,2.0,49.0,1,0.0
Volkswagen,T-Roc,2019,22795.0,,4852.0,Diesel,150.0,50.4,1.6,45.0,2,0.0
Mercedes-Benz,C-Class,2017,19980.0,Semi-Auto,29198.0,Diesel,,,2.1,95.0,0,0.0
Mercedes-Benz,A-Class,2019,21990.0,Unknown,120.0,Diesel,145.0,56.5,2.0,49.0,1,0.0
Volkswagen,Golf,2019,22105.0,Semi-Auto,4924.0,Petrol,145.0,43.5,1.5,68.0,1,0.0
Ford,Kuga,2023,16950.0,Manual,3376.0,Diesel,145.0,54.3,1.5,68.0,1,0.0
Ford,Tourneo Connect,2017,10998.0,Manual,16310.0,Petrol,125.0,50.4,1.0,31.0,1,0.0
Volkswagen,Golf,2016,11250.0,Manual,32043.0,Petrol,30.0,53.3,1.4,69.0,0,0.0
Audi,Q3,2020,35990.0,Semi-Auto,6000.0,Diesel,145.0,47.1,2.0,48.0,,
BMW,2 Series,2019,17950.0,Manual,3387.0,Petrol,145.0,42.2,1.5,73.0,0,0.0
Audi,Q7,2017,53990.0,Semi-Auto,30427.0,,145.0,39.2,4.0,78.0,1,0.0
Audi,A6,2016,24990.0,Automatic,47750.0,Diesel,160.0,52.3,3.0,69.0,2,0.0
Mercedes-Benz,GLA-Class,2019,24999.0,Semi-Auto,1000.0,Diesel,145.0,64.2,2.1,70.0,3,0.0
Mercedes-Benz,C-Class,2017,17100.0,Automatic,21388.0,Diesel,30.0,64.2,2.1,93.0,0,0.0
Volkswagen,Polo,2016,7990.0,Manual,45055.0,Petrol,20.0,60.1,1.0,66.0,4,0.0
Ford,S-MAX,2017,21000.0,Semi-Auto,28167.0,Diesel,160.0,51.4,2.0,34.0,4,0.0
Ford,EcoSport,2018,12500.0,Manual,10000.0,Petrol,150.0,53.3,1.0,75.0,3,0.0
Ford,Fiesta,2018,12750.0,Manual,3445.0,Petrol,145.0,56.5,1.0,50.0,2,0.0
Opel,Astra,2018,12990.0,Semi-Auto,7177.0,Petrol,145.0,51.4,1.4,54.0,2,0.0
Ford,Fiesta,2018,10500.0,Manual,8363.0,Petrol,145.0,58.9,1.0,94.0,3,0.0
Ford,Focus,2019,17470.0,Manual,1120.0,Petrol,,,1.0,68.0,4,0.0
Volkswagen,Polo,2017,10888.0,Manual,12960.0,Petrol,0.0,65.7,1.0,49.0,2,0.0
Opel,Mokka X,2017,10299.0,Manual,24861.0,Petrol,200.0,42.2,1.6,49.0,1,0.0
Opel,Astra,2020,15690.0,Manual,100.0,Petrol,145.0,,1.2,47.0,4,0.0
Volkswagen,Golf,2020,32995.0,Semi-Auto,2131.0,Petrol,145.0,32.8,2.0,48.0,3,0.0
Ford,Kuga,2018,13500.0,Manual,23393.0,Diesel,145.0,54.3,1.5,65.0,3,0.0
BMW,3 Series,2020,43995.0,Semi-Auto,2252.0,Petrol,145.0,34.9,3.0,86.0,4,0.0
Volkswagen,Golf,2018,15561.0,Manual,34535.0,Petrol,145.0,55.4,1.5,35.0,0,0.0
Hyundai,Tucson,2017,14600.0,Manual,30165.0,Diesel,30.0,61.7,1.7,55.0,4,
Volkswagen,Arteon,2019,27550.0,Semi-Auto,3797.0,Diesel,145.0,44.1,2.0,77.0,2,0.0
Ford,Focus,2019,16395.0,Manual,11594.0,Diesel,,,1.5,90.0,2,0.0
Volkswagen,Polo,2019,14160.0,Semi-Auto,10031.0,Petrol,145.0,45.6,1.0,51.0,,0.0
Opel,Corsa,2018,12995.0,Automatic,1786.0,Petrol,145.0,39.8,1.4,51.0,4,0.0
Ford,Mondeo,2017,9999.0,Manual,64447.0,Petrol,145.0,48.7,1.5,73.0,,0.0
Mercedes-Benz,GLA-Class,2015,18980.0,Semi-Auto,35585.0,Diesel,125.0,55.4,2.1,92.0,3,0.0
Ford,Focus,2017,13000.0,Manual,12456.0,Petrol,,,1.0,48.0,3,0.0
Volkswagen,Arteon,2019,28995.0,Semi-Auto,3438.0,Diesel,145.0,50.4,2.0,44.0,1,0.0
Mercedes-Benz,GLC-Class,2017,25998.0,,,Diesel,125.0,56.5,2.1,53.0,1,0.0
Mercedes-Benz,E-Class,2013,11295.0,Automatic,81200.0,Diesel,125.0,57.7,2.1,85.0,2,0.0
Ford,Fiesta,2019,16599.0,Semi-Auto,4803.0,Petrol,145.0,48.7,1.0,40.0,1,0.0
Mercedes-Benz,SLK-Class,2003,3650.0,Automatic,58500.0,Petrol,325.0,30.0,2.3,45.0,4,0.0
Ford,Fiesta,2019,14960.0,Manual,3599.0,Petrol,145.0,60.1,1.0,74.0,2,0.0
Opel,Mokka X,2017,10495.0,Manual,31248.0,Petrol,150.0,47.1,1.4,85.0,2,0.0
Volkswagen,Polo,2018,12750.0,Manual,14150.0,Petrol,145.0,64.2,2.9857934392613865,57.0,3,0.0
Audi,Q5,2019,36202.0,Automatic,1000.0,Diesel,145.0,39.2,2.0,51.0,2,0.0
Mercedes-Benz,GLA-Class,2019,23299.0,,7727.0,Diesel,145.0,67.3,2.1,31.0,1,0.0
Mercedes-Benz,SL-Class,2017,18990.0,Automatic,21490.0,,145.0,70.6,2.1,84.0,6,0.0
