carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,model_engine_freq,y_true,y_pred,residual,abs_residual
44942,Mercedes-Benz,S-Class,2019.0,Semi-Auto,4688.0,Petrol,326.028233171514,31.7,4.0,42.0,1.0,0.0,2.639057329615259,109995.0,64206.527,45788.47265625,45788.47265625
11246,BMW,M5,2019.0,Semi-Auto,2269.0,Petrol,145.0,,4.4,60.0,3.0,0.0,2.772588722239781,89900.0,45682.184,44217.81640625,44217.81640625
1697,Audi,R8,2014.0,Automatic,35000.0,Petrol,570.0,21.9,5.2,48.0,2.0,0.0,2.833213344056216,58450.0,100463.24,-42013.2421875,42013.2421875
62732,Opel,Zafira,1970.0,Manual,37357.0,,200.0,42.2,,60.0,2.0,0.0,0.0,10495.0,52230.773,-41735.7734375,41735.7734375
2743,Audi,R8,2018.0,Semi-Auto,3800.0,Petrol,145.0,23.0,5.2,42.0,3.0,0.0,2.833213344056216,93950.0,135550.53,-41600.53125,41600.53125
7208,Audi,R8,2020.0,Semi-Auto,70.0,Petrol,145.0,21.1,5.2,58.0,0.0,0.0,2.833213344056216,137995.0,178289.12,-40294.125,40294.125
42643,Mercedes-Benz,SL-Class,2015.0,Automatic,11000.0,Petrol,555.0,28.5,5.5,76.0,6.0,0.0,2.4849066497880004,47124.0,86315.42,-39191.421875,39191.421875
35379,Mercedes-Benz,C-Class,2019.0,Semi-Auto,2270.0,Petrol,,,,99.0,0.0,0.0,0.0,67199.0,28430.605,38768.39453125,38768.39453125
22719,Ford,,,Manual,11000.0,Petrol,,,2.3,49.0,3.0,0.0,0.0,54995.0,16446.922,38548.078125,38548.078125
2736,Audi,R8,2019.0,Semi-Auto,500.0,Petrol,145.0,21.4,5.2,82.0,4.0,0.0,2.833213344056216,125000.0,162923.06,-37923.0625,37923.0625
41753,Mercedes-Benz,C-Class,2017.0,Automatic,21800.0,Petrol,,,,58.0,1.0,0.0,0.0,59740.0,23498.836,36241.1640625,36241.1640625
36451,Mercedes-Benz,A-Class,,Automatic,637.0,Petrol,145.0,24.8,4.0,52.0,,0.0,2.995732273553991,125796.0,89986.57,35809.4296875,35809.4296875
41531,Mercedes-Benz,SL-Class,2016.0,Automatic,6200.0,Petrol,555.0,28.0,5.5,79.0,4.0,,2.4849066497880004,49948.0,85749.53,-35801.53125,35801.53125
35900,Mercedes-Benz,S-Class,2019.0,Automatic,15251.0,Diesel,,9.429178950613696,2.9,78.0,1.0,0.0,2.1972245773362196,40900.0,76280.85,-35380.8515625,35380.8515625
2487,Audi,R8,2019.0,Semi-Auto,7800.0,Petrol,145.0,21.4,5.2,72.0,4.0,0.0,2.833213344056216,119995.0,154845.5,-34850.5,34850.5
36265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,30.1,4.0,81.0,2.0,0.0,2.995732273553991,115359.0,81753.31,33605.6875,33605.6875
430,Audi,Q8,2020.0,Semi-Auto,95204.18167360188,Diesel,145.0,30.7,4.0,44.0,1.0,0.0,0.6931471805599453,86995.0,53813.445,33181.5546875,33181.5546875
2022,Audi,R8,2019.0,Automatic,8175.0,Petrol,145.0,21.6,5.2,47.0,4.0,0.0,2.833213344056216,112990.0,145396.42,-32406.421875,32406.421875
9713,BMW,3 Series,2020.0,Semi-Auto,150.0,Diesel,150.0,47.1,3.0,93.0,3.0,0.0,5.752572638825633,71990.0,39919.168,32070.83203125,32070.83203125
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,91.0,3.0,0.0,4.770684624465665,54995.0,23998.328,30996.671875,30996.671875
3755,Audi,R8,2018.0,Automatic,5044.0,Petrol,150.0,23.0,5.2,68.0,4.0,0.0,2.833213344056216,95950.0,125884.59,-29934.59375,29934.59375
34931,Mercedes-Benz,GLC-Class,2020.0,Semi-Auto,1000.0,Petrol,145.0,22.1,4.0,76.0,4.0,0.0,3.1780538303479458,62189.0,91627.445,-29438.4453125,29438.4453125
6689,Audi,S8,2017.0,Automatic,22579.0,Petrol,555.0,28.2,4.0,46.0,2.0,0.0,1.3862943611198906,44991.0,72697.055,-27706.0546875,27706.0546875
5038,Audi,RS6,2020.0,Semi-Auto,3220.0,Petrol,150.0,22.1,4.0,72.0,,0.0,3.4657359027997265,97500.0,125134.22,-27634.21875,27634.21875
38953,Mercedes-Benz,GLE-Class,2018.0,Automatic,5234.0,Petrol,145.0,23.9,5.5,93.0,0.0,0.0,2.3978952727983707,55376.0,82194.94,-26818.9375,26818.9375
1359,Audi,Q7,2024.0,Automatic,36537.0,Diesel,300.0,39.2,4.0,48.0,3.0,0.0,4.02535169073515,45690.0,72466.69,-26776.6875,26776.6875
35363,Mercedes-Benz,A-Class,2019.0,Semi-Auto,880.0,Petrol,145.0,24.8,4.0,41.0,4.0,0.0,2.995732273553991,124366.0,97603.78,26762.21875,26762.21875
6834,Audi,,2019.0,Automatic,5800.0,Diesel,145.0,30.7,4.0,94.0,2.0,0.0,0.0,89750.0,63126.5,26623.5,26623.5
22326,Ford,Focus,2017.0,Manual,,Diesel,,,1.5,69.0,3.0,0.0,7.485491608030754,38015.0,11498.299,26516.701171875,26516.701171875
12917,BMW,M4,2016.0,Automatic,4550.0,Petrol,300.0,33.2,3.0,73.0,3.0,0.0,4.418840607796598,76990.0,50860.066,26129.93359375,26129.93359375
35988,Mercedes-Benz,G-Class,2018.0,Semi-Auto,13046.0,Petrol,145.0,21.4,4.0,36.0,2.0,0.0,1.791759469228055,139995.0,165577.47,-25582.46875,25582.46875
921,Audi,RS6,2014.0,Automatic,58000.0,Petrol,555.0,28.8,4.0,89.0,2.0,0.0,3.4657359027997265,38444.0,63965.965,-25521.96484375,25521.96484375
1681,Audi,R8,2013.0,Manual,19834.0,Petrol,570.0,19.6,4.2,80.0,3.0,0.0,1.791759469228055,47995.0,73318.95,-25323.953125,25323.953125
41484,Mercedes-Benz,S-Class,2016.0,Automatic,14000.0,Petrol,555.0,28.0,5.5,75.0,4.0,0.0,1.3862943611198906,57000.0,82119.484,-25119.484375,25119.484375
2985,Audi,RS6,2020.0,Semi-Auto,1500.0,Petrol,150.0,22.1,4.0,64.0,4.0,0.0,3.4657359027997265,109495.0,134303.28,-24808.28125,24808.28125
35305,Mercedes-Benz,S-Class,2016.0,,19953.0,Petrol,555.0,28.0,5.5,77.0,2.0,0.0,1.3862943611198906,56995.0,81664.09,-24669.09375,24669.09375
1220,Audi,A8,2020.0,Automatic,250.0,Diesel,145.0,39.2,3.0,41.0,3.0,0.0,4.276666119016055,78990.0,54457.867,24532.1328125,24532.1328125
15120,Ford,Focus,2017.0,Manual,197.0,Diesel,145.0,,1.5,55.0,1.0,0.0,7.485491608030754,38015.0,13519.443,24495.556640625,24495.556640625
36558,Mercedes-Benz,GLC-Class,2019.0,Automatic,400.0,Petrol,145.0,27.4,4.0,32.0,0.0,0.0,3.1780538303479458,55990.0,80212.12,-24222.1171875,24222.1171875
43885,Mercedes-Benz,SL-Class,2019.0,Semi-Auto,377.0,Petrol,145.0,31.4,4.7,37.0,1.0,0.0,2.5649493574615367,55199.0,79346.664,-24147.6640625,24147.6640625
44692,Mercedes-Benz,C-Class,2019.0,Automatic,1090.0,Petrol,145.0,44.1,3.723712168624484,86.0,0.0,0.0,3.367295829986474,25950.0,49906.11,-23956.109375,23956.109375
38962,Mercedes-Benz,A-Class,2017.0,Automatic,1755.0,Petrol,145.0,24.8,4.0,76.0,1.0,0.0,2.995732273553991,109495.0,85686.266,23808.734375,23808.734375
766,Audi,R8,2020.0,Semi-Auto,2000.0,Petrol,145.0,21.1,5.2,81.0,4.0,0.0,2.833213344056216,145000.0,168768.67,-23768.671875,23768.671875
42419,Mercedes-Benz,SL-Class,2019.0,Semi-Auto,9742.0,Petrol,145.0,31.4,4.7,33.0,0.0,0.0,2.5649493574615367,48745.0,72345.016,-23600.015625,23600.015625
39568,Mercedes-Benz,C-Class,2019.0,Semi-Auto,10004.0,Petrol,145.0,34.5,4.0,96.0,,0.0,4.700480365792417,41750.0,65235.066,-23485.06640625,23485.06640625
8198,BMW,X5,2016.0,Automatic,20000.0,Petrol,570.0,25.4,4.4,97.0,0.0,0.0,2.4849066497880004,40950.0,64198.2,-23248.19921875,23248.19921875
8651,BMW,X5,2014.0,Automatic,28056.0,Petrol,555.0,26.9,4.4,97.0,2.0,0.0,2.4849066497880004,27498.0,50599.684,-23101.68359375,23101.68359375
39737,Mercedes-Benz,M-Class,2014.0,Semi-Auto,33271.0,Petrol,580.0,23.9,5.5,30.0,,0.0,0.6931471805599453,32995.0,55930.383,-22935.3828125,22935.3828125
45540,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,,,4.0,46.0,2.0,0.0,4.700480365792417,88995.0,66079.88,22915.1171875,22915.1171875
40177,Mercedes-Benz,SL-Class,2019.0,Automatic,9000.0,Petrol,145.0,31.4,4.7,76.0,4.0,0.0,2.5649493574615367,48500.0,71325.56,-22825.5625,22825.5625
1372,Audi,,2019.0,Semi-Auto,5209.0,Diesel,145.0,9.821461970493658,3.0,34.0,0.0,0.0,0.0,47990.0,70807.016,-22817.015625,22817.015625
4037,Audi,RS6,2017.0,Automatic,15500.0,Petrol,325.0,29.4,4.0,88.0,3.0,0.0,3.4657359027997265,54995.0,77751.336,-22756.3359375,22756.3359375
41344,Mercedes-Benz,S-Class,2024.0,Automatic,18273.0,Diesel,200.0,48.7,3.0,55.0,4.0,0.0,4.543294782270004,24491.0,47176.797,-22685.796875,22685.796875
38943,Mercedes-Benz,GLC-Class,2020.0,Semi-Auto,3999.0,Petrol,145.0,22.4,4.0,71.0,0.0,0.0,3.1780538303479458,62480.0,85101.125,-22621.125,22621.125
5096,Audi,Q7,2012.0,Automatic,65675.0,Diesel,555.0,28.5,4.1,96.0,3.0,0.0,0.6931471805599453,17999.0,40616.71,-22617.7109375,22617.7109375
41490,Mercedes-Benz,S-Class,2019.0,Semi-Auto,5000.0,Petrol,145.0,31.7,4.0,85.0,1.0,0.0,2.639057329615259,79980.0,102560.95,-22580.953125,22580.953125
5324,Audi,R8,2019.0,Automatic,3000.0,Petrol,145.0,21.4,5.2,47.0,2.0,0.0,2.833213344056216,119450.0,141924.03,-22474.03125,22474.03125
10787,BMW,,2020.0,Semi-Auto,5000.0,Diesel,150.0,31.4,3.0,47.0,4.0,0.0,0.0,78000.0,55737.305,22262.6953125,22262.6953125
13568,BMW,,2019.0,Semi-Auto,10.0,Diesel,145.0,31.4,3.0,55.0,1.0,0.0,0.0,76970.0,54843.29,22126.7109375,22126.7109375
42646,Mercedes-Benz,C-Class,2019.0,Semi-Auto,3398.0,Petrol,145.0,27.2,,57.0,2.0,0.0,0.0,65000.0,43078.277,21921.72265625,21921.72265625
3086,Audi,RS6,2020.0,Semi-Auto,2000.0,Petrol,145.0,22.1,4.0,38.0,2.0,0.0,3.4657359027997265,102544.0,124427.35,-21883.3515625,21883.3515625
34832,Mercedes-Benz,C-Class,2018.0,Semi-Auto,5659.0,Petrol,145.0,40.4,3.723712168624484,93.0,0.0,0.0,3.367295829986474,23498.0,45229.258,-21731.2578125,21731.2578125
3044,Audi,,2020.0,Automatic,1500.0,Diesel,145.0,34.5,,88.0,1.0,0.0,0.0,56450.0,34731.098,21718.90234375,21718.90234375
7697,BMW,X3,2024.0,Automatic,95000.0,Diesel,260.0,42.2,2.0,3.140370457788869,0.0,0.0,5.602118820879701,7495.0,29129.723,-21634.72265625,21634.72265625
5540,Audi,,2020.0,Semi-Auto,,Petrol,145.0,28.8,2.9,63.0,3.0,0.0,0.0,69995.0,48459.33,21535.671875,21535.671875
5953,Audi,R8,2019.0,Semi-Auto,10.0,Petrol,150.0,21.4,5.2,70.0,1.0,0.0,2.833213344056216,137500.0,159018.45,-21518.453125,21518.453125
42997,Mercedes-Benz,GLC-Class,2019.0,Automatic,2417.0,Petrol,145.0,27.4,4.0,77.0,0.0,0.0,3.1780538303479458,56191.0,77611.766,-21420.765625,21420.765625
1698,Audi,RS5,2017.0,Automatic,8966.0,Petrol,145.0,9.821461970493658,2.9,49.0,1.0,0.0,2.70805020110221,43996.0,65358.49,-21362.48828125,21362.48828125
3596,Audi,RS6,2014.0,Automatic,43752.0,Petrol,555.0,28.8,4.0,71.0,3.0,0.0,3.4657359027997265,44491.0,65790.875,-21299.875,21299.875
36644,Mercedes-Benz,GLC-Class,2019.0,Automatic,350.0,Petrol,145.0,27.4,4.0,78.0,4.0,0.0,3.1780538303479458,56990.0,78205.42,-21215.421875,21215.421875
14659,BMW,M3,,Manual,81000.0,Petrol,570.0,22.8,4.0,55.0,2.0,0.0,1.3862943611198906,17650.0,38813.875,-21163.875,21163.875
35678,Mercedes-Benz,GLC-Class,2018.0,Semi-Auto,11744.0,Petrol,145.0,27.4,4.0,82.0,0.0,0.0,3.1780538303479458,49891.0,71028.78,-21137.78125,21137.78125
9079,BMW,8 Series,2019.0,Automatic,11111.0,Petrol,150.0,26.9,4.4,30.0,2.0,0.0,1.791759469228055,65000.0,85926.44,-20926.4375,20926.4375
14006,BMW,8 Series,2018.0,Semi-Auto,3891.0,Petrol,145.0,26.9,4.4,58.0,2.0,0.0,1.791759469228055,63980.0,84694.766,-20714.765625,20714.765625
3037,Audi,,2017.0,,22558.0,Petrol,145.0,29.4,4.0,48.0,4.0,0.0,0.0,61700.0,41035.773,20664.2265625,20664.2265625
7288,Audi,A7,2020.0,Semi-Auto,1200.0,Diesel,327.9157783460352,38.2,3.0,49.0,1.0,0.0,4.304065093204169,38990.0,59565.934,-20575.93359375,20575.93359375
35564,Mercedes-Benz,SL-Class,,Automatic,49000.0,Petrol,255.0,28.2,3.2,32.0,2.0,0.0,1.3862943611198906,10450.0,30923.262,-20473.26171875,20473.26171875
45338,,CL-Class,2020.0,Semi-Auto,,Petrol,145.0,33.2,2.0,61.0,4.0,0.0,4.204692619390966,54995.0,34673.543,20321.45703125,20321.45703125
6259,Audi,,2019.0,Semi-Auto,2867.0,Diesel,145.0,9.821461970493658,2.0,91.0,,0.0,0.0,25900.0,46024.28,-20124.28125,20124.28125
39351,,GLE-Class,2015.0,Automatic,13212.0,Petrol,570.0,23.7,,80.0,2.0,0.0,0.0,48400.0,68336.61,-19936.609375,19936.609375
38101,Mercedes-Benz,GLS-Class,2017.0,Automatic,7208.0,Diesel,305.0,37.2,3.0,65.0,3.0,0.0,3.970291913552122,38250.0,57901.207,-19651.20703125,19651.20703125
5547,Audi,A6,2010.0,Automatic,8372.0,,145.0,35.8,3.0,34.0,1.0,0.0,4.5217885770490405,49850.0,30295.07,19554.9296875,19554.9296875
40018,Mercedes-Benz,A-Class,2020.0,Semi-Auto,9.0,Petrol,145.0,,2.0,71.0,0.0,0.0,5.384495062789089,48980.0,29465.012,19514.98828125,19514.98828125
67600,,Touareg,,Semi-Auto,6000.0,Diesel,145.0,33.6,3.0,58.0,2.0,0.0,5.476463551931511,49990.0,30784.316,19205.68359375,19205.68359375
5129,Audi,Q5,2020.0,Automatic,1500.0,Petrol,135.0,,,85.0,3.0,0.0,0.0,49790.0,30600.842,19189.158203125,19189.158203125
66181,,,2019.0,Automatic,947.0,Diesel,145.0,32.8,2.0,36.0,0.0,0.0,0.0,49996.0,30828.592,19167.408203125,19167.408203125
44727,Mercedes-Benz,GLA-Class,2019.0,Automatic,3099.0,Petrol,145.0,35.8,3.723712168624484,76.0,2.0,0.0,1.791759469228055,30000.0,49082.96,-19082.9609375,19082.9609375
3807,Audi,RS6,2014.0,Automatic,63476.0,Petrol,555.0,28.8,4.0,86.0,1.0,0.0,3.4657359027997265,40990.0,59995.234,-19005.234375,19005.234375
14613,BMW,X5,2015.0,Semi-Auto,22103.0,Petrol,570.0,25.4,4.4,88.0,1.0,0.0,2.4849066497880004,44814.0,63757.55,-18943.55078125,18943.55078125
39388,Mercedes-Benz,A-Class,2020.0,Semi-Auto,1000.0,Petrol,145.0,53.3,3.723712168624484,52.0,4.0,0.0,2.0794415416798357,25879.0,44724.312,-18845.3125,18845.3125
43949,Mercedes-Benz,GLC-Class,2020.0,Semi-Auto,100.0,Petrol,150.0,22.1,4.0,81.0,2.0,0.0,3.1780538303479458,72990.0,91826.02,-18836.0234375,18836.0234375
15255,Ford,Focus,2011.0,Manual,1577.0,Petrol,,,,89.0,2.0,0.0,0.0,29635.0,10859.335,18775.6650390625,18775.6650390625
1950,Audi,R8,2019.0,Automatic,1000.0,Petrol,145.0,32.8,5.2,30.0,1.0,0.0,2.833213344056216,135000.0,116227.445,18772.5546875,18772.5546875
320,Audi,RS5,2019.0,Automatic,16.0,Petrol,145.0,30.1,2.9,49.0,0.0,0.0,2.70805020110221,49750.0,68511.36,-18761.359375,18761.359375
43495,Mercedes-Benz,GLC-Class,2019.0,Semi-Auto,23500.0,Petrol,150.0,27.4,4.0,83.0,0.0,0.0,3.1780538303479458,51500.0,69985.34,-18485.34375,18485.34375
42193,Mercedes-Benz,,2019.0,Automatic,8974.0,Diesel,265.0,35.8,2.3,69.0,3.0,0.0,0.0,22995.0,41409.21,-18414.2109375,18414.2109375
4810,Audi,,2019.0,Automatic,8305.0,Diesel,145.0,39.8,3.0,63.0,0.0,0.0,0.0,32750.0,51086.652,-18336.65234375,18336.65234375
35340,Mercedes-Benz,G-Class,2020.0,Automatic,3000.0,Petrol,150.0,21.4,4.0,58.0,1.0,0.0,1.791759469228055,154998.0,173304.44,-18306.4375,18306.4375
36887,Mercedes-Benz,C-Class,2020.0,Semi-Auto,,Petrol,145.0,,,92.0,0.0,0.0,0.0,44995.0,26690.96,18304.0390625,18304.0390625
44085,Mercedes-Benz,,2019.0,Semi-Auto,6641.0,Petrol,145.0,29.7,3.0,,3.0,0.0,0.0,39950.0,58159.77,-18209.76953125,18209.76953125
45626,Mercedes-Benz,SL-Class,2016.0,Semi-Auto,21681.0,Petrol,565.0,28.0,5.5,71.0,1.0,0.0,2.4849066497880004,52990.0,71172.6,-18182.6015625,18182.6015625
45008,Mercedes-Benz,A-Class,2019.0,Automatic,2013.0,Petrol,145.0,22.6,4.0,88.0,0.0,0.0,2.995732273553991,99950.0,118089.76,-18139.7578125,18139.7578125
70660,Volkswagen,Touareg,2018.0,Automatic,10000.0,Diesel,145.0,34.0,3.0,81.0,4.0,0.0,5.476463551931511,57295.0,39207.195,18087.8046875,18087.8046875
41854,Mercedes-Benz,,2018.0,Automatic,212.0,Petrol,145.0,36.2,3.0,56.0,4.0,0.0,0.0,34799.0,52745.61,-17946.609375,17946.609375
39762,Mercedes-Benz,A-Class,2016.0,Automatic,45000.0,Petrol,325.0,30.1,4.0,86.0,0.0,0.0,2.995732273553991,57950.0,40042.02,17907.98046875,17907.98046875
5404,Audi,Q7,2019.0,Automatic,7999.0,Diesel,145.0,33.2,3.0,30.0,1.0,0.0,5.3230099791384085,68000.0,50121.9,17878.1015625,17878.1015625
71404,Volkswagen,Touareg,2019.0,Semi-Auto,9950.0,Diesel,150.0,34.0,3.0,98.0,1.0,0.0,5.476463551931511,59990.0,42138.74,17851.26171875,17851.26171875
36614,Mercedes-Benz,G-Class,2018.0,Semi-Auto,19000.0,Petrol,145.0,21.4,4.0,67.0,1.0,0.0,1.791759469228055,135771.0,153344.34,-17573.34375,17573.34375
5882,Audi,A6,2020.0,Semi-Auto,2000.0,Diesel,145.0,50.4,2.0,77.0,1.0,0.0,5.87493073085203,52500.0,34970.906,17529.09375,17529.09375
37816,Mercedes-Benz,X-Class,2024.0,Automatic,11366.0,Diesel,265.0,31.4,3.0,96.0,1.0,0.0,2.833213344056216,33991.0,51402.36,-17411.359375,17411.359375
40277,Mercedes-Benz,SL-Class,2018.0,Semi-Auto,10767.0,Petrol,145.0,31.4,4.7,35.0,2.0,0.0,2.5649493574615367,49995.0,67399.016,-17404.015625,17404.015625
38578,Mercedes-Benz,GLC-Class,2018.0,Automatic,8550.0,Petrol,145.0,27.4,4.0,73.0,0.0,0.0,3.1780538303479458,50990.0,68386.02,-17396.0234375,17396.0234375
41207,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,145.0,28.0,4.0,60.0,0.0,0.0,4.700480365792417,88995.0,71601.17,17393.828125,17393.828125
12307,BMW,4 Series,2020.0,Semi-Auto,10.0,Petrol,145.0,44.8,2.0,82.0,1.0,0.0,6.198478716492308,48155.0,30809.691,17345.30859375,17345.30859375
11984,BMW,X6,2019.0,,4331.0,Petrol,145.0,26.4,3.0,,1.0,0.0,4.23410650459726,64652.0,47369.938,17282.0625,17282.0625
46065,Mercedes-Benz,E-Class,2015.0,Automatic,42422.0,Petrol,555.0,28.8,5.5,43.0,3.0,0.0,1.0986122886681096,25499.0,42746.293,-17247.29296875,17247.29296875
44680,Mercedes-Benz,GLC-Class,2019.0,Automatic,5500.0,Petrol,145.0,21.7,4.0,39.0,1.0,0.0,3.1780538303479458,67980.0,85189.8,-17209.796875,17209.796875
36832,Mercedes-Benz,GLC-Class,2020.0,Semi-Auto,500.0,Petrol,145.0,22.4,4.0,54.0,4.0,0.0,3.1780538303479458,72995.0,90200.34,-17205.34375,17205.34375
2222,Audi,RS5,2014.0,Semi-Auto,39210.0,Petrol,555.0,26.9,4.2,73.0,0.0,0.0,1.0986122886681096,23400.0,40585.42,-17185.421875,17185.421875
38485,Mercedes-Benz,G-Class,2020.0,Semi-Auto,1350.0,Petrol,145.0,21.4,4.0,99.0,1.0,0.0,1.791759469228055,159999.0,177167.08,-17168.078125,17168.078125
43725,Mercedes-Benz,C-Class,2014.0,Semi-Auto,24175.0,Petrol,570.0,23.5,6.2,86.0,1.0,0.0,2.833213344056216,26998.0,44148.645,-17150.64453125,17150.64453125
37671,Mercedes-Benz,A-Class,2015.0,Automatic,20750.0,Petrol,325.0,30.1,4.0,43.0,3.0,0.0,2.995732273553991,59991.0,42851.07,17139.9296875,17139.9296875
55432,Toyota,Hilux,2016.0,Manual,52689.0,Diesel,260.0,38.7,2.5,94.0,,0.0,1.6094379124341003,29990.0,12897.209,17092.791015625,17092.791015625
46606,Mercedes-Benz,C-Class,,Automatic,8011.0,Petrol,145.0,29.7,3.0,56.0,1.0,0.0,5.4116460518550396,53991.0,36988.125,17002.875,17002.875
30459,Ford,,2019.0,Automatic,1055.0,Petrol,145.0,22.1,5.0,38.0,3.0,0.0,0.0,37991.0,54978.453,-16987.453125,16987.453125
4924,Audi,A4,2020.0,Automatic,5500.0,Petrol,145.0,35.3,2.0,37.0,1.0,0.0,6.56244409369372,47990.0,31030.03,16959.970703125,16959.970703125
807,Audi,RS6,2017.0,Semi-Auto,20814.0,Petrol,325.0,29.4,4.0,58.0,2.0,0.0,3.4657359027997265,56990.0,73937.93,-16947.9296875,16947.9296875
12255,BMW,X5,2017.0,Automatic,10.0,Diesel,145.0,47.1,3.0,41.0,4.0,0.0,5.594711379601839,55990.0,39043.76,16946.23828125,16946.23828125
40351,Mercedes-Benz,SL-Class,2019.0,Semi-Auto,5884.0,Petrol,145.0,31.4,4.7,91.0,0.0,0.0,2.5649493574615367,51124.0,67909.12,-16785.1171875,16785.1171875
36894,Mercedes-Benz,,2019.0,Semi-Auto,164.0,Petrol,145.0,,2.0,79.0,0.0,0.0,0.0,45799.0,29079.842,16719.158203125,16719.158203125
43870,Mercedes-Benz,GLC-Class,2020.0,Semi-Auto,500.0,Petrol,145.0,22.1,4.0,82.0,4.0,0.0,3.1780538303479458,75995.0,92674.47,-16679.46875,16679.46875
2118,Audi,RS6,2020.0,Automatic,3000.0,Petrol,145.0,22.1,4.0,82.0,4.0,0.0,3.4657359027997265,104948.0,121588.57,-16640.5703125,16640.5703125
44835,Mercedes-Benz,CLS-Class,2011.0,Automatic,4263.0,Diesel,145.0,48.7,2.9,57.0,2.0,0.0,3.8066624897703196,44995.0,28513.398,16481.6015625,16481.6015625
1726,Audi,RS6,2017.0,Semi-Auto,13051.0,,150.0,29.4,4.0,72.0,0.0,0.0,3.4657359027997265,56950.0,73375.83,-16425.828125,16425.828125
8180,BMW,4 Series,2020.0,Semi-Auto,101.0,Diesel,145.0,60.1,2.0,38.0,3.0,0.0,6.198478716492308,47550.0,31140.996,16409.00390625,16409.00390625
42477,Mercedes-Benz,C-Class,2019.0,Automatic,,Hybrid,,,2.0,61.0,1.0,0.0,7.529943370601589,43990.0,27595.305,16394.6953125,16394.6953125
35296,Mercedes-Benz,E-Class,2019.0,Automatic,12.0,Diesel,145.0,47.1,3.0,77.0,0.0,0.0,5.62040086571715,58921.0,42620.59,16300.41015625,16300.41015625
37998,Mercedes-Benz,GLC-Class,2018.0,Semi-Auto,6982.0,Petrol,145.0,26.4,4.0,90.0,3.0,0.0,3.1780538303479458,59124.0,75384.734,-16260.734375,16260.734375
