carID,Brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage,y_true,y_pred,residual,abs_residual
35988,Mercedes-Benz,G-Class,2018.0,Semi-Auto,13046.0,Petrol,145.0,21.4,4.0,36.0,2.0,0.0,139995.0,107049.67,32945.328125,32945.328125
7208,Audi,R8,2020.0,Semi-Auto,70.0,Petrol,145.0,21.1,5.2,58.0,0.0,0.0,137995.0,106116.26,31878.7421875,31878.7421875
42646,Mercedes-Benz,C-Class,2019.0,Semi-Auto,3398.0,Petrol,145.0,27.2,,57.0,2.0,0.0,65000.0,33810.023,31189.9765625,31189.9765625
22719,Ford,,,Manual,11000.0,Petrol,,,2.3,49.0,3.0,0.0,54995.0,24572.422,30422.578125,30422.578125
35970,Mercedes-Benz,G-Class,2015.0,Semi-Auto,10000.0,Petrol,570.0,20.5,5.5,74.0,3.0,0.0,99850.0,129378.09,-29528.09375,29528.09375
4710,Audi,R8,2019.0,,6954.0,Petrol,145.0,21.6,5.2,35.0,2.0,0.0,109990.0,80555.71,29434.2890625,29434.2890625
36265,Mercedes-Benz,A-Class,2019.0,Semi-Auto,1000.0,Petrol,145.0,30.1,4.0,81.0,2.0,0.0,115359.0,85943.41,29415.59375,29415.59375
35769,Mercedes-Benz,M-Class,1970.0,Automatic,14000.0,Diesel,305.0,39.2,,44.0,3.0,0.0,24999.0,54227.035,-29228.03515625,29228.03515625
10941,BMW,8 Series,2019.0,,88.0,Petrol,145.0,24.4,4.4,40.0,0.0,0.0,88980.0,59948.848,29031.15234375,29031.15234375
430,Audi,Q8,2020.0,Semi-Auto,95204.18167360188,Diesel,145.0,30.7,4.0,44.0,1.0,0.0,86995.0,58718.094,28276.90625,28276.90625
41207,Mercedes-Benz,C-Class,2019.0,Semi-Auto,200.0,Petrol,145.0,28.0,4.0,60.0,0.0,0.0,88995.0,60741.656,28253.34375,28253.34375
36614,Mercedes-Benz,G-Class,2018.0,Semi-Auto,19000.0,Petrol,145.0,21.4,4.0,67.0,1.0,0.0,135771.0,107621.164,28149.8359375,28149.8359375
3320,Audi,TT,2017.0,Manual,14000.0,Petrol,145.0,47.1,3.7392354812099646,71.0,2.0,0.0,17490.0,45512.934,-28022.93359375,28022.93359375
45338,,CL-Class,2020.0,Semi-Auto,,Petrol,145.0,33.2,2.0,61.0,4.0,0.0,54995.0,27189.6,27805.400390625,27805.400390625
43057,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,3999.0,Diesel,145.0,30.4,3.0,99.0,3.0,0.0,76980.0,49207.87,27772.12890625,27772.12890625
5404,Audi,Q7,2019.0,Automatic,7999.0,Diesel,145.0,33.2,3.0,30.0,1.0,0.0,68000.0,40436.523,27563.4765625,27563.4765625
5953,Audi,R8,2019.0,Semi-Auto,10.0,Petrol,150.0,21.4,5.2,70.0,1.0,0.0,137500.0,109974.945,27525.0546875,27525.0546875
38192,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,452.0,Diesel,145.0,,3.0,77.0,3.0,0.0,71991.0,44605.0,27386.0,27386.0
40454,Mercedes-Benz,A-Class,2018.0,Semi-Auto,2122.0,Petrol,145.0,24.8,4.0,39.0,1.0,0.0,109989.0,82707.54,27281.4609375,27281.4609375
45365,Mercedes-Benz,GLS-Class,2020.0,Semi-Auto,2700.0,Diesel,145.0,30.4,3.0,67.0,4.0,0.0,76469.0,49395.383,27073.6171875,27073.6171875
4476,Audi,,2018.0,Semi-Auto,8450.0,Diesel,145.0,32.8,3.0,31.0,0.0,0.0,63985.0,36935.812,27049.1875,27049.1875
2118,Audi,RS6,2020.0,Automatic,3000.0,Petrol,145.0,22.1,4.0,82.0,4.0,0.0,104948.0,78136.69,26811.3125,26811.3125
66181,,,2019.0,Automatic,947.0,Diesel,145.0,32.8,2.0,36.0,0.0,0.0,49996.0,23217.926,26778.07421875,26778.07421875
2985,Audi,RS6,2020.0,Semi-Auto,1500.0,Petrol,150.0,22.1,4.0,64.0,4.0,0.0,109495.0,82786.77,26708.2265625,26708.2265625
12793,BMW,8 Series,2019.0,Automatic,1616.0,Diesel,145.0,39.8,,39.0,3.0,0.0,63806.0,37130.348,26675.65234375,26675.65234375
22326,Ford,Focus,2017.0,Manual,,Diesel,,,1.5,69.0,3.0,0.0,38015.0,11550.223,26464.77734375,26464.77734375
13718,BMW,X5,2019.0,Automatic,5.0,Hybrid,135.0,,3.0,93.0,4.0,0.0,73000.0,46631.344,26368.65625,26368.65625
12507,BMW,8 Series,2020.0,,,Diesel,145.0,26.7,3.0,72.0,4.0,0.0,79991.0,53722.58,26268.421875,26268.421875
35296,Mercedes-Benz,E-Class,2019.0,Automatic,12.0,Diesel,145.0,47.1,3.0,77.0,0.0,0.0,58921.0,32848.555,26072.4453125,26072.4453125
38962,Mercedes-Benz,A-Class,2017.0,Automatic,1755.0,Petrol,145.0,24.8,4.0,76.0,1.0,0.0,109495.0,83689.664,25805.3359375,25805.3359375
14271,BMW,X7,,Semi-Auto,5349.0,Diesel,145.0,33.6,3.0,37.0,0.0,0.0,72798.0,46995.65,25802.3515625,25802.3515625
1959,Audi,Q7,2018.0,Automatic,24439.0,Diesel,145.0,39.2,,98.0,2.0,0.0,52495.0,27009.77,25485.23046875,25485.23046875
35564,Mercedes-Benz,SL-Class,,Automatic,49000.0,Petrol,255.0,28.2,3.2,32.0,2.0,0.0,10450.0,35566.65,-25116.6484375,25116.6484375
44835,Mercedes-Benz,CLS-Class,2011.0,Automatic,4263.0,Diesel,145.0,48.7,2.9,57.0,2.0,0.0,44995.0,19934.115,25060.884765625,25060.884765625
13566,BMW,X5,2020.0,Semi-Auto,3500.0,Diesel,145.0,33.6,,57.0,2.0,0.0,60990.0,36142.473,24847.52734375,24847.52734375
7886,BMW,X5,2019.0,Semi-Auto,4799.0,Hybrid,140.0,,3.0,77.0,1.0,0.0,72990.0,48171.02,24818.98046875,24818.98046875
1359,Audi,Q7,2024.0,Automatic,36537.0,Diesel,300.0,39.2,4.0,48.0,3.0,0.0,45690.0,70416.03,-24726.03125,24726.03125
35979,Mercedes-Benz,C-Class,2019.0,,3456.0,Petrol,,,4.0,53.0,4.0,0.0,67980.0,43295.992,24684.0078125,24684.0078125
70660,Volkswagen,Touareg,2018.0,Automatic,10000.0,Diesel,145.0,34.0,3.0,81.0,4.0,0.0,57295.0,32643.096,24651.904296875,24651.904296875
35957,Mercedes-Benz,E-Class,2019.0,Semi-Auto,86705.85488462522,Petrol,145.0,32.1,3.0,88.0,,0.0,51995.0,27345.814,24649.185546875,24649.185546875
19640,Ford,Focus,2018.0,Manual,11000.0,Petrol,145.0,36.7,2.3,91.0,3.0,0.0,54995.0,30388.97,24606.029296875,24606.029296875
5326,Audi,Q7,2018.0,Automatic,13213.0,Diesel,145.0,37.2,4.0,42.0,2.0,0.0,70990.0,46466.555,24523.4453125,24523.4453125
4936,Audi,Q7,2018.0,Automatic,13213.0,Diesel,145.0,37.2,4.0,73.0,4.0,0.0,72990.0,48611.383,24378.6171875,24378.6171875
15120,Ford,Focus,2017.0,Manual,197.0,Diesel,145.0,,1.5,55.0,1.0,0.0,38015.0,13658.781,24356.21875,24356.21875
4210,Audi,Q8,2019.0,Semi-Auto,6000.0,Diesel,145.0,32.8,3.0,43.0,1.0,0.0,76990.0,52717.9,24272.1015625,24272.1015625
40178,Mercedes-Benz,C-Class,2020.0,,1500.0,Petrol,,,4.0,97.0,4.0,0.0,67999.0,43750.75,24248.25,24248.25
2736,Audi,R8,2019.0,Semi-Auto,500.0,Petrol,145.0,21.4,5.2,82.0,4.0,0.0,125000.0,100782.984,24217.015625,24217.015625
3215,Audi,Q7,2019.0,Automatic,5000.0,Diesel,145.0,33.2,3.0,39.0,2.0,0.0,66000.0,42379.91,23620.08984375,23620.08984375
69766,Volkswagen,Caravelle,2019.0,Automatic,2692.0,,145.0,33.6,,99.0,1.0,0.0,49999.0,26416.697,23582.302734375,23582.302734375
42831,Mercedes-Benz,C-Class,2019.0,Automatic,9625.0,Petrol,,,4.0,73.0,0.0,0.0,66990.0,43428.99,23561.01171875,23561.01171875
5540,Audi,,2020.0,Semi-Auto,,Petrol,145.0,28.8,2.9,63.0,3.0,0.0,69995.0,46639.883,23355.1171875,23355.1171875
12379,BMW,X6,2020.0,Semi-Auto,9710.0,Diesel,,,3.0,54.0,2.0,0.0,55890.0,32578.809,23311.19140625,23311.19140625
43941,Mercedes-Benz,GLE-Class,2016.0,Semi-Auto,19466.0,Petrol,570.0,23.9,5.5,77.0,3.0,0.0,48480.0,71782.016,-23302.015625,23302.015625
4541,Audi,Q5,2019.0,Semi-Auto,6000.0,Diesel,145.0,32.5,3.0,71.0,2.0,0.0,67990.0,44730.33,23259.671875,23259.671875
6752,Audi,R8,2014.0,Semi-Auto,19800.0,Petrol,570.0,22.8,4.2,70.0,3.0,0.0,51990.0,75237.07,-23247.0703125,23247.0703125
36232,Mercedes-Benz,C-Class,2019.0,Semi-Auto,1200.0,Petrol,,,4.0,99.0,1.0,0.0,66890.0,43693.875,23196.125,23196.125
11568,BMW,5 Series,2020.0,Semi-Auto,450.0,Diesel,145.0,60.1,3.0,48.0,4.0,0.0,54845.0,31812.295,23032.705078125,23032.705078125
17089,Ford,Mustang,2017.0,Manual,21575.0,Petrol,145.0,20.9,5.0,44.0,1.0,0.0,49999.0,26972.547,23026.453125,23026.453125
36102,Mercedes-Benz,GLS-Class,2019.0,Automatic,86705.85488462522,Diesel,145.0,30.4,3.0,80.0,1.0,0.0,69990.0,47097.86,22892.140625,22892.140625
34921,Mercedes-Benz,C-Class,2019.0,Semi-Auto,1000.0,Petrol,,,4.0,83.0,1.0,0.0,69679.0,46822.875,22856.125,22856.125
37116,Mercedes-Benz,CLS-Class,2019.0,Semi-Auto,,Petrol,145.0,31.7,3.0,41.0,2.0,0.0,68000.0,45225.332,22774.66796875,22774.66796875
8118,BMW,X5,2019.0,Semi-Auto,9257.0,Diesel,150.0,33.6,,77.0,3.0,0.0,59980.0,37296.727,22683.2734375,22683.2734375
42565,Mercedes-Benz,SL-Class,2003.0,Automatic,47450.0,Petrol,325.0,22.2,5.0,93.0,1.0,0.0,12995.0,35452.152,-22457.15234375,22457.15234375
2487,Audi,R8,2019.0,Semi-Auto,7800.0,Petrol,145.0,21.4,5.2,72.0,4.0,0.0,119995.0,97614.766,22380.234375,22380.234375
10887,BMW,X5,2019.0,Automatic,8700.0,Diesel,145.0,37.7,3.822757846971372,89.0,4.0,0.0,60000.0,37648.668,22351.33203125,22351.33203125
12635,BMW,X5,2019.0,Semi-Auto,1606.0,Hybrid,135.0,,3.0,69.0,2.0,0.0,69995.0,47687.05,22307.94921875,22307.94921875
52914,Toyota,Land Cruiser,1998.0,Manual,,Diesel,265.0,23.9,4.2,50.0,4.0,0.0,19990.0,42224.625,-22234.625,22234.625
5882,Audi,A6,2020.0,Semi-Auto,2000.0,Diesel,145.0,50.4,2.0,77.0,1.0,0.0,52500.0,30400.422,22099.578125,22099.578125
43852,Mercedes-Benz,S-Class,2019.0,Semi-Auto,1022.0,Petrol,145.0,34.0,4.0,63.0,0.0,0.0,95099.0,73079.02,22019.9765625,22019.9765625
13145,BMW,X5,2020.0,Semi-Auto,,Diesel,145.0,37.7,3.0,59.0,0.0,0.0,64995.0,43018.5,21976.5,21976.5
39388,Mercedes-Benz,A-Class,2020.0,Semi-Auto,1000.0,Petrol,145.0,53.3,3.723712168624484,52.0,4.0,0.0,25879.0,47854.113,-21975.11328125,21975.11328125
3691,Audi,,2020.0,Semi-Auto,6000.0,Diesel,145.0,33.2,3.0,64.0,3.0,0.0,62990.0,41126.984,21863.015625,21863.015625
36868,Mercedes-Benz,,2019.0,Semi-Auto,9.0,Petrol,150.0,33.2,2.0,48.0,4.0,0.0,54980.0,33152.547,21827.453125,21827.453125
10714,BMW,i8,2019.0,Automatic,2277.0,,,,1.5,67.0,0.0,0.0,64750.0,43049.324,21700.67578125,21700.67578125
3086,Audi,RS6,2020.0,Semi-Auto,2000.0,Petrol,145.0,22.1,4.0,38.0,2.0,0.0,102544.0,81082.68,21461.3203125,21461.3203125
13490,BMW,X7,2019.0,Automatic,1793.0,Diesel,145.0,31.4,3.0,74.0,2.0,0.0,78386.0,56984.383,21401.6171875,21401.6171875
13827,BMW,M5,2019.0,Semi-Auto,551.0,Petrol,145.0,24.1,4.4,92.0,6.0,0.0,81140.0,59753.125,21386.875,21386.875
35092,Mercedes-Benz,S-Class,2019.0,Automatic,3671.0,Petrol,145.0,31.7,4.0,95.0,4.0,0.0,104590.0,83269.15,21320.8515625,21320.8515625
46376,Mercedes-Benz,SL-Class,2002.0,Automatic,34000.0,Petrol,325.0,22.2,5.0,71.0,,0.0,16999.0,38295.285,-21296.28515625,21296.28515625
68546,Volkswagen,Touareg,2019.0,Semi-Auto,,Petrol,145.0,25.5,3.0,56.0,0.0,0.0,59995.0,38732.97,21262.03125,21262.03125
6348,Audi,A5,2020.0,Semi-Auto,2000.0,Diesel,150.0,40.9,3.0,33.0,0.0,0.0,59995.0,38739.027,21255.97265625,21255.97265625
42947,Mercedes-Benz,GLE-Class,2024.0,Automatic,10516.0,Diesel,145.0,,3.0,94.0,4.0,0.0,54885.0,33688.902,21196.09765625,21196.09765625
13639,BMW,8 Series,,Semi-Auto,1897.0,Diesel,145.0,39.8,3.0,93.0,1.0,0.0,64103.0,42914.297,21188.703125,21188.703125
46124,Mercedes-Benz,A-Class,2020.0,Semi-Auto,4500.0,Petrol,145.0,53.3,3.723712168624484,75.0,3.0,0.0,26000.0,47164.336,-21164.3359375,21164.3359375
758,Audi,Q7,2016.0,Automatic,36461.0,Diesel,0.0,,3.0,77.0,3.0,0.0,37999.0,16977.68,21021.3203125,21021.3203125
8906,BMW,X5,2017.0,Automatic,10.0,Diesel,145.0,42.8,3.0,43.0,2.0,0.0,57990.0,37069.242,20920.7578125,20920.7578125
3044,Audi,,2020.0,Automatic,1500.0,Diesel,145.0,34.5,,88.0,1.0,0.0,56450.0,35556.78,20893.21875,20893.21875
36394,Mercedes-Benz,SL-Class,2019.0,Automatic,50.0,Petrol,145.0,28.0,5.5,66.0,0.0,0.0,89880.0,69020.13,20859.8671875,20859.8671875
2534,Audi,Q8,2020.0,Semi-Auto,1500.0,Diesel,150.0,32.8,3.0,79.0,0.0,0.0,73495.0,52673.42,20821.578125,20821.578125
45498,Mercedes-Benz,A-Class,2019.0,Automatic,163.0,Petrol,145.0,30.1,4.0,82.0,1.0,0.0,97900.0,77079.63,20820.3671875,20820.3671875
37093,Mercedes-Benz,S-Class,2017.0,Automatic,8090.0,Petrol,145.0,32.1,,46.0,2.0,,49890.0,29171.396,20718.603515625,20718.603515625
36551,Mercedes-Benz,GLE-Class,2019.0,Semi-Auto,1493.0,Petrol,145.0,23.7,5.5,69.0,0.0,0.0,87459.0,66746.12,20712.8828125,20712.8828125
3037,Audi,,2017.0,,22558.0,Petrol,145.0,29.4,4.0,48.0,4.0,0.0,61700.0,41147.03,20552.96875,20552.96875
14340,BMW,X6,2020.0,Semi-Auto,999.0,Diesel,145.0,34.9,3.0,62.0,0.0,0.0,69995.0,49451.094,20543.90625,20543.90625
73367,Volkswagen,Caravelle,2011.0,Automatic,10500.0,Diesel,145.0,33.6,2.0,46.0,1.0,0.0,56000.0,35462.094,20537.90625,20537.90625
6793,Audi,Q8,2019.0,Automatic,3011.0,Diesel,145.0,32.8,3.0,89.0,4.0,0.0,77888.0,57427.984,20460.015625,20460.015625
40294,Mercedes-Benz,S-Class,2019.0,Semi-Auto,1000.0,Diesel,145.0,52.3,3.0,80.0,2.0,0.0,67109.0,46685.586,20423.4140625,20423.4140625
8651,BMW,X5,2014.0,Automatic,28056.0,Petrol,555.0,26.9,4.4,97.0,2.0,0.0,27498.0,47867.35,-20369.3515625,20369.3515625
37836,Mercedes-Benz,C-Class,2018.0,Semi-Auto,3891.0,Petrol,,,3.723712168624484,75.0,1.0,0.0,19980.0,40271.227,-20291.2265625,20291.2265625
13959,BMW,X7,2020.0,Semi-Auto,7500.0,Diesel,150.0,31.4,3.0,33.0,0.0,0.0,77995.0,57738.098,20256.90234375,20256.90234375
40570,Mercedes-Benz,C-Class,2017.0,Semi-Auto,11018.0,Petrol,145.0,32.8,,73.0,4.0,0.0,45480.0,25226.037,20253.962890625,20253.962890625
43142,,GLC-Class,2019.0,,9090.0,Diesel,145.0,40.4,2.0,93.0,0.0,0.0,43299.0,23071.645,20227.35546875,20227.35546875
45141,Mercedes-Benz,SL-Class,2019.0,,1201.0,Petrol,145.0,,3.0,57.0,2.0,0.0,57995.0,37775.16,20219.83984375,20219.83984375
42863,Mercedes-Benz,E-Class,2020.0,Semi-Auto,200.0,Petrol,,31.7,3.0,48.0,3.0,0.0,65995.0,45782.277,20212.72265625,20212.72265625
2031,Audi,Q7,2016.0,Semi-Auto,46600.0,Diesel,300.0,39.2,4.0,,1.0,0.0,47995.0,27823.152,20171.84765625,20171.84765625
44976,Mercedes-Benz,S-Class,,Semi-Auto,2384.0,Diesel,145.0,52.3,3.0,35.0,2.0,0.0,54399.0,34232.758,20166.2421875,20166.2421875
45321,Mercedes-Benz,C-Class,2014.0,Semi-Auto,19562.0,Petrol,570.0,,6.2,57.0,4.0,0.0,28990.0,49089.656,-20099.65625,20099.65625
42764,Mercedes-Benz,A-Class,2017.0,Semi-Auto,24315.0,Petrol,150.0,52.3,3.723712168624484,98.0,3.0,0.0,17981.0,38032.61,-20051.609375,20051.609375
896,Audi,A8,2018.0,Automatic,20360.0,Diesel,145.0,50.4,3.0,47.0,2.0,0.0,49995.0,29991.38,20003.619140625,20003.619140625
40387,Mercedes-Benz,E-Class,2024.0,Semi-Auto,74500.0,Diesel,145.0,54.3,3.0,80.0,0.0,0.0,15499.0,35457.02,-19958.01953125,19958.01953125
9625,BMW,7 Series,2019.0,Semi-Auto,4279.0,Diesel,145.0,41.5,,66.0,0.0,0.0,51990.0,32076.428,19913.572265625,19913.572265625
2424,Audi,R8,2019.0,Automatic,100.0,Petrol,145.0,24.1,5.2,62.0,2.0,0.0,125000.0,105208.54,19791.4609375,19791.4609375
42643,Mercedes-Benz,SL-Class,2015.0,Automatic,11000.0,Petrol,555.0,28.5,5.5,76.0,6.0,0.0,47124.0,66861.945,-19737.9453125,19737.9453125
36699,Mercedes-Benz,C-Class,2020.0,Semi-Auto,999.0,Petrol,,,4.0,95.0,1.0,0.0,65990.0,46299.08,19690.921875,19690.921875
35879,Mercedes-Benz,E-Class,2018.0,Semi-Auto,2114.0,Petrol,,39.2,3.723712168624484,66.0,2.0,0.0,30982.0,50615.418,-19633.41796875,19633.41796875
44582,Mercedes-Benz,C-Class,2011.0,Automatic,6000.0,Petrol,,,1.5,89.0,0.0,0.0,33900.0,14310.014,19589.986328125,19589.986328125
43584,Mercedes-Benz,S-Class,2019.0,Semi-Auto,8333.0,Diesel,145.0,52.3,,45.0,3.0,0.0,44980.0,25441.215,19538.78515625,19538.78515625
9197,BMW,7 Series,2017.0,Automatic,11297.0,Petrol,145.0,22.1,,68.0,1.0,0.0,57000.0,37507.61,19492.390625,19492.390625
36887,Mercedes-Benz,C-Class,2020.0,Semi-Auto,,Petrol,145.0,,,92.0,0.0,0.0,44995.0,25502.7,19492.30078125,19492.30078125
12170,BMW,X6,2019.0,Semi-Auto,7200.0,Diesel,145.0,33.2,3.0,37.0,,0.0,64900.0,45481.734,19418.265625,19418.265625
67600,,Touareg,,Semi-Auto,6000.0,Diesel,145.0,33.6,3.0,58.0,2.0,0.0,49990.0,30641.58,19348.419921875,19348.419921875
38213,Mercedes-Benz,V-Class,2019.0,Semi-Auto,200.0,Diesel,145.0,,2.0,65.0,1.0,0.0,44995.0,25649.662,19345.337890625,19345.337890625
4956,Audi,Q7,2016.0,Automatic,41032.0,Diesel,300.0,39.2,4.0,80.0,0.0,0.0,48995.0,29732.645,19262.35546875,19262.35546875
36073,Mercedes-Benz,GLC-Class,,Automatic,6007.0,Petrol,145.0,22.1,4.0,34.0,2.0,0.0,68900.0,49644.453,19255.546875,19255.546875
8095,BMW,X3,,Automatic,6000.0,Petrol,145.0,24.8,3.0,81.0,0.0,0.0,56240.0,37122.7,19117.30078125,19117.30078125
42258,Mercedes-Benz,,2019.0,Semi-Auto,4468.0,Diesel,145.0,36.7,2.0,63.0,0.0,0.0,49480.0,30420.926,19059.07421875,19059.07421875
14659,BMW,M3,,Manual,81000.0,Petrol,570.0,22.8,4.0,55.0,2.0,0.0,17650.0,36705.805,-19055.8046875,19055.8046875
2240,Audi,Q7,2018.0,Automatic,9923.0,Diesel,150.0,37.2,4.0,36.0,3.0,0.0,65000.0,46100.543,18899.45703125,18899.45703125
41439,Mercedes-Benz,GLE-Class,2020.0,Semi-Auto,2538.0,Diesel,145.0,,2.9,43.0,3.0,0.0,57400.0,38539.08,18860.921875,18860.921875
7711,BMW,3 Series,2010.0,Semi-Auto,14951.0,Petrol,145.0,41.5,3.0,51.0,4.0,0.0,25480.0,44297.566,-18817.56640625,18817.56640625
36026,Mercedes-Benz,C-Class,2016.0,Automatic,18900.0,Petrol,,,,68.0,0.0,0.0,35991.0,17189.553,18801.447265625,18801.447265625
9011,BMW,X7,2019.0,Semi-Auto,6506.0,Diesel,145.0,31.4,3.0,83.0,2.0,0.0,77880.0,59163.17,18716.828125,18716.828125
67955,Volkswagen,Caravelle,,Automatic,10.0,Diesel,145.0,33.6,2.0,73.0,1.0,0.0,54995.0,36351.37,18643.62890625,18643.62890625
46225,Mercedes-Benz,S-Class,2019.0,Semi-Auto,1000.0,Petrol,,34.0,4.0,72.0,0.0,0.0,90759.0,72175.01,18583.9921875,18583.9921875
11750,BMW,6 Series,2019.0,Automatic,9000.0,Diesel,145.0,42.2,2.0,45.0,2.0,0.0,52500.0,34001.68,18498.3203125,18498.3203125
8753,BMW,3 Series,2020.0,Semi-Auto,5000.0,Diesel,150.0,43.5,3.0,70.0,0.0,0.0,51000.0,32548.84,18451.16015625,18451.16015625
4924,Audi,A4,2020.0,Automatic,5500.0,Petrol,145.0,35.3,2.0,37.0,1.0,0.0,47990.0,29541.602,18448.3984375,18448.3984375
34832,Mercedes-Benz,C-Class,2018.0,Semi-Auto,5659.0,Petrol,145.0,40.4,3.723712168624484,93.0,0.0,0.0,23498.0,41929.402,-18431.40234375,18431.40234375
12255,BMW,X5,2017.0,Automatic,10.0,Diesel,145.0,47.1,3.0,41.0,4.0,0.0,55990.0,37622.36,18367.640625,18367.640625
12307,BMW,4 Series,2020.0,Semi-Auto,10.0,Petrol,145.0,44.8,2.0,82.0,1.0,0.0,48155.0,29809.703,18345.296875,18345.296875
45018,Mercedes-Benz,S-Class,2019.0,Automatic,1000.0,Diesel,145.0,52.3,3.0,82.0,1.0,0.0,67109.0,48783.594,18325.40625,18325.40625
71404,Volkswagen,Touareg,2019.0,Semi-Auto,9950.0,Diesel,150.0,34.0,3.0,98.0,1.0,0.0,59990.0,41666.19,18323.80859375,18323.80859375
7649,BMW,X5,2019.0,Automatic,11311.0,Diesel,150.0,33.6,3.0,38.0,3.0,0.0,61550.0,43249.4,18300.6015625,18300.6015625
40018,Mercedes-Benz,A-Class,2020.0,Semi-Auto,9.0,Petrol,145.0,,2.0,71.0,0.0,0.0,48980.0,30691.826,18288.173828125,18288.173828125
8859,BMW,8 Series,2019.0,Semi-Auto,7903.0,Diesel,145.0,38.2,3.0,51.0,1.0,0.0,67898.0,49633.375,18264.625,18264.625
6992,Audi,Q7,2018.0,Automatic,22393.0,Diesel,145.0,37.2,4.0,69.0,0.0,0.0,63912.0,45755.39,18156.609375,18156.609375
8768,BMW,X7,2019.0,Automatic,5929.0,Diesel,145.0,31.4,3.0,85.0,1.0,0.0,72500.0,54349.17,18150.828125,18150.828125
